run,segment,field,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,peak_excess,peak_counts,n_support,n_pixels,pixels,flag
8622,0,137/137A-exb-1500,upper,R1C2,Cd-109-9178,5.13,3.45,106,0.12,123.2,543786,7,4,106;107;114;115,
8622,0,137/137A-exb-1500,upper,R1C3,Bi-207-8890,5.13,-1.74,109,0.12,10.8,73888,6,4,108;109;117;118,
8622,0,137/137A-exb-1500,upper,R2C1,Bi-207-9176,-0.87,6.92,60,0.12,33.4,96630,7,6,47;59;60;61;72;73,
8622,0,137/137A-exb-1500,upper,R2C2,Bi-207-9177,0.63,0.85,76,0.12,6.1,91546,5,5,63;64;76;77;88,
8622,0,137/137A-exb-1500,upper,R2C3,Bi-207-8779,-0.12,-5.64,80,0.96,14.8,64517,7,4,68;80;81;92,CHECK
8622,0,137/137A-exb-1500,lower,R1C2,Cd-109-9178,5.16,1.67,1019,0.11,122.4,1287253,7,4,1010;1011;1018;1019,
8622,0,137/137A-exb-1500,lower,R1C3,Bi-207-8890,5.16,-3.53,1022,0.11,44.6,202477,7,4,1013;1014;1022;1023,
8622,0,137/137A-exb-1500,lower,R2C1,Bi-207-9176,0.66,6.0,1048,0.11,33.6,254332,7,4,1036;1047;1048;1060,
8622,0,137/137A-exb-1500,lower,R2C2,Bi-207-9177,0.66,-0.93,1052,0.11,20.4,273101,7,6,1040;1051;1052;1053;1064;1065,
8622,0,137/137A-exb-1500,lower,R2C3,Bi-207-8779,-0.84,-6.99,1068,0.11,39.1,159267,7,4,1055;1056;1068;1069,
