run_number,board_channel,pixel_number
8622,0,51
8622,1,63
8622,2,75
8622,3,50
8622,4,62
8622,5,64
8622,6,40
8622,7,58
8622,8,66
8622,9,53
8622,10,41
8622,11,65
8622,12,76
8622,13,89
8622,14,78
8622,15,88
8622,16,87
8622,17,77
8622,18,30
8622,19,39
8622,20,28
8622,21,20
8622,22,29
8622,23,38
8622,24,58
8622,25,42
8622,26,32
8622,27,67
8622,28,43
8622,29,31
8622,30,80
8622,31,90
8622,32,100
8622,33,91
8622,34,79
8622,35,101
8622,36,108
8622,37,98
8622,38,107
8622,39,99
8622,40,106
8622,41,96
8622,42,85
8622,43,97
8622,44,74
8622,45,86
8622,46,48
8622,47,37
8622,48,26
8622,49,61
8622,50,49
8622,51,27
8622,52,19
8622,53,10
8622,54,17
8622,55,11
8622,56,9
8622,57,18
8622,58,44
8622,59,33
8622,60,22
8622,61,56
8622,62,69
8622,63,23
8622,64,55
8622,65,92
8622,66,81
8622,67,68
8622,68,109
8622,69,118
8622,70,102
8622,71,117
8622,72,110
8622,73,111
8622,74,95
8622,75,116
8622,76,84
8622,77,105
8622,78,115
8622,79,94
8622,80,12
8622,81,21
8622,82,4
8622,83,13
8622,84,72
8622,85,47
8622,86,73
8622,87,60
8622,88,59
8622,89,36
8622,90,15
8622,91,14
8622,92,45
8622,93,24
8622,94,7
8622,95,34
8622,96,126
8622,97,112
8622,98,127
8622,99,119
8622,100,103
8622,101,120
8622,102,71
8622,103,114
8622,104,113
8622,105,83
8622,106,104
8622,107,121
8622,108,35
8622,109,25
8622,110,54
8622,111,52
8622,112,0
8622,113,0
8622,114,2
8622,115,3
8622,116,6
8622,117,5
8622,118,0
8622,119,0
8622,0,0
8622,0,0
8622,0,0
8622,0,0
8622,0,0
8622,0,0
8622,0,0
8622,0,0
8622,128,1051
8622,129,1063
8622,130,1075
8622,131,1050
8622,132,1062
8622,133,1064
8622,134,1040
8622,135,1052
8622,136,1066
8622,137,1053
8622,138,1041
8622,139,1065
8622,140,1076
8622,141,1089
8622,142,1078
8622,143,1088
8622,144,1087
8622,145,1077
8622,146,1030
8622,147,1039
8622,148,1028
8622,149,1020
8622,150,1029
8622,151,1038
8622,152,1054
8622,153,1042
8622,154,1032
8622,155,1067
8622,156,1043
8622,157,1031
8622,158,1080
8622,159,1090
