isotope,label,energy_kev,energy_error_kev,intensity,intensity_error,origin,notes
Bi-207,Auger 56,56.03,,,,nndc,Auger group (56/68/80 keV) has combined intensity 2.9%; split not reported; 80 keV line not fitted
Bi-207,Auger 68,68.18,,,,nndc,Auger group (56/68/80 keV) has combined intensity 2.9%; split not reported; 80 keV line not fitted
Bi-207,CE 482,481.6935,0.0021,1.537,0.022,nndc,
Bi-207,CE 554,553.8372,0.0021,0.442,0.006,nndc,
Bi-207,CE 566,565.8473,0.0021,0.111,0.005,nndc,
Bi-207,CE 976,975.651,0.003,7.08,0.17,nndc,
Bi-207,CE 1048,1047.795,0.003,1.84,0.05,nndc,
Bi-207,CE 1060,1059.805,0.003,0.44,0.03,nndc,
Sn-113,CE 364,363.758,0.003,28.8,0.5,nndc,
Sn-113,CE 387,387.461,0.003,5.60,0.08,nndc,
Sn-113,CE 391,390.872,0.003,1.137,0.017,nndc,
Ce-139,CE 127,126.9329,0.0012,17.78,0.09,nndc,
Ce-139,CE 160,159.5912,0.0012,2.39,0.10,nndc,
Ce-139,CE 164,164.4962,0.0011,0.494,0.007,nndc,
Ce-139,CE 166,165.5871,0.0014,0.1085,0.0016,nndc,
Cd-109,CE 63,62.5196,0.0010,41.8,0.8,nndc,
Cd-109,CE 84,84.2278,0.0010,44.2,0.9,nndc,
Cd-109,CE 87,87.3161,0.0010,9.05,0.20,nndc,
Cd-109,CE 88,87.9384,0.0010,1.41,0.03,nndc,
Bi-207,Auger 56,22.269661,0.005846,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,Auger 68,35.276915,0.002800,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,CE 482,450.020179,0.003731,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,CE 554,522.714534,0.005186,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,CE 566,535.039124,0.013013,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,CE 976,944.193705,0.002459,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,CE 1048,1016.613371,0.004933,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
Bi-207,CE 1060,1029.008589,0.012757,,,Jin-simulation-UDET-30kV,numbers from simulation Jin ran for UDET at -30kV
