pixel_number,preamp,fet
1,H3,G1
2,K2,I1
3,K3,I3
4,L5,I6
5,K6,I4
6,K5,I2
7,N5,J4
8,H6,G2
9,I5,H1
10,I2,H4
11,I4,H2
12,L2,I5
13,L6,I8
14,N2,J3
15,N1,J1
16,H4,F2
17,I3,G4
18,I6,G3
19,I1,H3
20,J4,H6
21,L3,I7
22,O3,K4
23,O6,K3
24,N4,J2
25,H2,F3
26,G3,G5
27,G6,G6
28,J3,G8
29,J5,H5
30,J1,H7
31,P6,K7
32,P3,K8
33,O2,L4
34,N6,K2
35,H1,F1
36,F6,E6
37,G2,F7
38,J6,G7
39,J2,H8
40,M1,J5
41,M5,J8
42,P2,L8
43,P5,L5
44,O1,L3
45,N3,K1
46,H5,F4
47,F2,E3
48,G1,F5
49,G5,F8
50,E4,D6
51,E1,D7
52,M2,J7
53,M4,J6
54,P1,L7
55,R2,M5
56,O4,L2
57,Q5,M2
58,,
59,F5,E4
60,F4,E2
61,G4,F6
62,E5,D5
63,E2,D8
64,E6,C7
65,M6,K6
66,M3,K5
67,P4,L6
68,R6,M8
69,O5,L1
70,Q6,M4
71,D1,D3
72,F1,E1
73,F3,E5
74,B5,B8
75,E3,C8
76,V1,P7
77,V6,O7
78,V3,O8
79,S5,N8
80,S1,N5
81,R5,M6
82,Q3,M3
83,D4,D2
84,C3,C1
85,B3,C5
86,B6,C6
87,V5,P5
88,V4,P6
89,V2,P8
90,S2,N7
91,S4,N6
92,R3,M7
93,Q2,M1
94,C6,C2
95,C1,B1
96,B2,B7
97,B4,B6
98,A3,A7
99,A6,A8
100,S3,O5
101,S6,O6
102,U3,O4
103,T5,N4
104,D5,D1
105,C4,B2
106,B1,B5
107,A5,A6
108,A2,A5
109,U1,P3
110,U5,P1
111,U6,O3
112,T2,N3
113,D3,C4
114,D2,D4
115,C5,B4
116,C2,B3
117,U4,P2
118,U2,P4
119,T4,N2
120,T6,O2
121,D6,C3
122,W3,A3
123,W5,A2
124,W6,A4
125,W2,A1
126,T1,N1
127,T3,O1
