installed_on,removed_on,source_label,slot,holder,notes
2025-10-03,2025-11-13,Cd-109-9178,R1C2,5-slot,
2025-10-03,2025-11-13,Bi-207-8890,R1C3,5-slot,
2025-10-03,2025-11-13,Bi-207-9176,R2C1,5-slot,
2025-10-03,2025-11-13,Bi-207-9177,R2C2,5-slot,
2025-10-03,2025-11-13,Bi-207-8779,R2C3,5-slot,slide mislabeled Bi-207-8890; corrected per AS
2025-11-13,2026-07-21,Bi-207-8890,R1C1,5-slot,
2025-11-13,2026-07-21,Cd-109-9178,R1C2,5-slot,
2025-11-13,2026-07-21,Cd-109-8889,R2C1,5-slot,
2025-11-13,2026-07-21,Bi-207-9177,R2C2,5-slot,
2025-11-13,2026-07-21,Bi-207-9176,R2C3,5-slot,
2026-07-21,,Bi-207-8890,R1C1,6-slot,corrected 2026-07-30: earlier reading had C1/C3 mirrored (the UP/DOWN photo labels were swapped)
2026-07-21,,Bi-207-9177,R1C2,6-slot,
2026-07-21,,Bi-207-9176,R1C3,6-slot,
2026-07-21,,Sn-113-9183,R2C1,6-slot,
2026-07-21,,Cd-109-9178,R2C2,6-slot,
2026-07-21,,Ce-139-9179,R2C3,6-slot,
