run,segment,pixel,accepted,chi2r,cen1,cen1_err_pct,cen2,cen2_err_pct,attempt,window
8622,0,1052,0,,,,,,,
8622,0,1055,0,,,,,,,
8622,0,1056,0,,,,,,,
8623,0,1064,0,,,,,,,
8623,0,1077,0,,,,,,,
8623,0,1080,0,,,,,,,
8623,0,1081,0,,,,,,,
8624,0,1042,0,,,,,,,
8624,0,1053,0,,,,,,,
8624,0,1084,0,,,,,,,
8624,0,1085,0,,,,,,,
8624,0,1092,0,,,,,,,
8624,0,1095,0,,,,,,,
8624,0,1102,0,,,,,,,
8625,0,1066,0,,,,,,,
8625,0,1095,0,,,,,,,
8625,0,1099,0,,,,,,,
8625,0,1105,0,,,,,,,
8626,0,1037,0,,,,,,,
8626,0,1040,0,,,,,,,
8627,0,1017,0,,,,,,,
8627,0,1026,0,,,,,,,
8627,0,1033,0,,,,,,,
8628,0,1049,0,,,,,,,
8628,0,1052,0,,,,,,,
8628,0,1053,0,,,,,,,
8628,0,1056,1,1.27,156.6,1.4,188.7,26.0,"widths: sig1=5,sig2=5",predicted window
8629,0,1033,0,,,,,,,
8629,0,1065,0,,,,,,,
8629,0,1074,0,,,,,,,
8629,0,1077,0,,,,,,,
8629,0,1078,0,,,,,,,
8629,0,1081,0,,,,,,,
8630,0,1043,0,,,,,,,
8630,0,1055,0,,,,,,,
8630,0,1085,0,,,,,,,
8630,0,1089,0,,,,,,,
8631,0,1106,0,,,,,,,
8632,0,1037,0,,,,,,,
8632,0,1038,0,,,,,,,
8632,0,1041,0,,,,,,,
8635,0,1021,0,,,,,,,
8635,0,1047,0,,,,,,,
8635,0,1050,0,,,,,,,
8635,0,1051,0,,,,,,,
8636,0,1030,0,,,,,,,
8636,0,1031,0,,,,,,,
8636,0,1041,0,,,,,,,
8636,0,1063,0,,,,,,,
8636,0,1076,0,,,,,,,
8636,0,1079,0,,,,,,,
8636,0,1080,0,,,,,,,
8637,0,1041,0,,,,,,,
8637,0,1052,0,,,,,,,
8637,0,1053,0,,,,,,,
8637,0,1084,0,,,,,,,
8637,0,1087,0,,,,,,,
8637,0,1091,0,,,,,,,
8637,0,1101,0,,,,,,,
8643,0,1065,0,,,,,,,
8643,0,1098,0,,,,,,,
8643,0,1107,0,,,,,,,
8644,0,1029,0,,,,,,,
8644,0,1039,0,,,,,,,
8644,0,1043,0,,,,,,,
8645,0,1116,0,,,,,,,
8646,0,1079,0,,,,,,,
8646,0,1105,0,,,,,,,
8646,0,1109,0,,,,,,,
8646,0,1117,0,,,,,,,
8647,0,1054,0,,,,,,,
8647,0,1095,0,,,,,,,
8648,0,1077,0,,,,,,,
8648,0,1081,0,,,,,,,
8648,0,1089,0,,,,,,,
8649,0,1065,0,,,,,,,
8649,0,1081,0,,,,,,,
8650,0,1037,0,,,,,,,
8650,0,1041,0,,,,,,,
8650,0,1056,0,,,,,,,
8651,0,1013,0,,,,,,,
8651,0,1040,0,,,,,,,
8651,0,1047,1,1.4,152.7,17.0,176.8,2.5,"prominence=7, widths: sig1=5,sig2=5",predicted window
8651,0,1048,0,,,,,,,
8651,0,1051,0,,,,,,,
8651,0,1055,1,1.22,158.3,2.3,197.3,6.9,widths: measured,recipe window
8652,0,1022,0,,,,,,,
8652,0,1060,0,,,,,,,
8652,0,1064,0,,,,,,,
8652,0,1068,0,,,,,,,
8653,0,1041,0,,,,,,,
8653,0,1073,0,,,,,,,
8653,0,1076,0,,,,,,,
8653,0,1080,0,,,,,,,
8653,0,1084,0,,,,,,,
8653,0,1091,0,,,,,,,
8653,0,1092,0,,,,,,,
8654,0,1053,1,1.4,153.8,1.3,198.7,4.1,fill-in 1/2 found,recipe window
8654,0,1066,0,,,,,,,
8654,0,1102,0,,,,,,,
8655,0,1078,0,,,,,,,
8655,0,1111,0,,,,,,,
8655,0,1116,0,,,,,,,
8656,0,1089,0,,,,,,,
8656,0,1100,0,,,,,,,
8657,0,1099,0,,,,,,,
8657,0,1100,0,,,,,,,
8657,0,1109,0,,,,,,,
8658,0,1090,0,,,,,,,
8659,0,1020,0,,,,,,,
