detector,pixel_number,slot,source,linear_position,horizontal_position,within_scanned_range
upper,1,R1C2,Cd-109-9178,30.878,1.516,False
upper,1,R1C3,Bi-207-8890,30.864,-1.489,False
upper,1,R2C1,Bi-207-9176,32.194,3.586,True
upper,1,R2C2,Bi-207-9177,31.85,0.063,False
upper,1,R2C3,Bi-207-8779,31.996,-3.685,False
upper,2,R1C2,Cd-109-9178,30.883,2.518,False
upper,2,R1C3,Bi-207-8890,30.869,-0.487,False
upper,2,R2C1,Bi-207-9176,32.198,4.588,False
upper,2,R2C2,Bi-207-9177,31.855,1.065,False
upper,2,R2C3,Bi-207-8779,32.0,-2.683,False
upper,3,R1C2,Cd-109-9178,30.888,3.52,False
upper,3,R1C3,Bi-207-8890,30.874,0.515,False
upper,3,R2C1,Bi-207-9176,32.203,5.59,False
upper,3,R2C2,Bi-207-9177,31.86,2.067,False
upper,3,R2C3,Bi-207-8779,32.005,-1.681,False
upper,4,R1C2,Cd-109-9178,30.893,4.522,False
upper,4,R1C3,Bi-207-8890,30.878,1.516,False
upper,4,R2C1,Bi-207-9176,32.208,6.591,False
upper,4,R2C2,Bi-207-9177,31.865,3.069,False
upper,4,R2C3,Bi-207-8779,32.01,-0.68,False
upper,5,R1C2,Cd-109-9178,30.898,5.523,False
upper,5,R1C3,Bi-207-8890,30.883,2.518,False
upper,5,R2C1,Bi-207-9176,32.213,7.593,False
upper,5,R2C2,Bi-207-9177,31.87,4.07,False
upper,5,R2C3,Bi-207-8779,32.015,0.322,False
upper,6,R1C2,Cd-109-9178,30.903,6.525,False
upper,6,R1C3,Bi-207-8890,30.888,3.52,False
upper,6,R2C1,Bi-207-9176,32.218,8.595,False
upper,6,R2C2,Bi-207-9177,31.874,5.072,False
upper,6,R2C3,Bi-207-8779,32.02,1.324,False
upper,7,R1C2,Cd-109-9178,30.907,7.527,False
upper,7,R1C3,Bi-207-8890,30.893,4.522,False
upper,7,R2C1,Bi-207-9176,32.222,9.597,False
upper,7,R2C2,Bi-207-9177,31.879,6.074,False
upper,7,R2C3,Bi-207-8779,32.024,2.326,True
upper,8,R1C2,Cd-109-9178,31.202,1.032,False
upper,8,R1C3,Bi-207-8890,31.188,-1.973,False
upper,8,R2C1,Bi-207-9176,32.518,3.102,True
upper,8,R2C2,Bi-207-9177,32.174,-0.421,False
upper,8,R2C3,Bi-207-8779,32.32,-4.169,False
upper,9,R1C2,Cd-109-9178,31.207,2.034,False
upper,9,R1C3,Bi-207-8890,31.193,-0.972,False
upper,9,R2C1,Bi-207-9176,32.522,4.104,False
upper,9,R2C2,Bi-207-9177,32.179,0.581,False
upper,9,R2C3,Bi-207-8779,32.324,-3.167,False
upper,10,R1C2,Cd-109-9178,31.212,3.036,False
upper,10,R1C3,Bi-207-8890,31.198,0.03,False
upper,10,R2C1,Bi-207-9176,32.527,5.105,False
upper,10,R2C2,Bi-207-9177,32.184,1.583,False
upper,10,R2C3,Bi-207-8779,32.329,-2.166,False
upper,11,R1C2,Cd-109-9178,31.217,4.037,False
upper,11,R1C3,Bi-207-8890,31.202,1.032,False
upper,11,R2C1,Bi-207-9176,32.532,6.107,False
upper,11,R2C2,Bi-207-9177,32.189,2.584,True
upper,11,R2C3,Bi-207-8779,32.334,-1.164,False
upper,12,R1C2,Cd-109-9178,31.222,5.039,False
upper,12,R1C3,Bi-207-8890,31.207,2.034,False
upper,12,R2C1,Bi-207-9176,32.537,7.109,False
upper,12,R2C2,Bi-207-9177,32.194,3.586,True
upper,12,R2C3,Bi-207-8779,32.339,-0.162,False
upper,13,R1C2,Cd-109-9178,31.226,6.041,False
upper,13,R1C3,Bi-207-8890,31.212,3.036,False
upper,13,R2C1,Bi-207-9176,32.542,8.111,False
upper,13,R2C2,Bi-207-9177,32.198,4.588,False
upper,13,R2C3,Bi-207-8779,32.344,0.84,False
upper,14,R1C2,Cd-109-9178,31.231,7.043,False
upper,14,R1C3,Bi-207-8890,31.217,4.037,False
upper,14,R2C1,Bi-207-9176,32.546,9.112,False
upper,14,R2C2,Bi-207-9177,32.203,5.59,False
upper,14,R2C3,Bi-207-8779,32.348,1.841,True
upper,15,R1C2,Cd-109-9178,31.236,8.044,False
upper,15,R1C3,Bi-207-8890,31.222,5.039,False
upper,15,R2C1,Bi-207-9176,32.551,10.114,False
upper,15,R2C2,Bi-207-9177,32.208,6.591,False
upper,15,R2C3,Bi-207-8779,32.353,2.843,True
upper,16,R1C2,Cd-109-9178,31.526,0.548,False
upper,16,R1C3,Bi-207-8890,31.512,-2.458,False
upper,16,R2C1,Bi-207-9176,32.842,2.618,True
upper,16,R2C2,Bi-207-9177,32.498,-0.905,False
upper,16,R2C3,Bi-207-8779,32.643,-4.654,False
upper,17,R1C2,Cd-109-9178,31.531,1.549,False
upper,17,R1C3,Bi-207-8890,31.517,-1.456,False
upper,17,R2C1,Bi-207-9176,32.846,3.619,True
upper,17,R2C2,Bi-207-9177,32.503,0.097,False
upper,17,R2C3,Bi-207-8779,32.648,-3.652,False
upper,18,R1C2,Cd-109-9178,31.536,2.551,False
upper,18,R1C3,Bi-207-8890,31.522,-0.454,False
upper,18,R2C1,Bi-207-9176,32.851,4.621,False
upper,18,R2C2,Bi-207-9177,32.508,1.098,False
upper,18,R2C3,Bi-207-8779,32.653,-2.65,False
upper,19,R1C2,Cd-109-9178,31.541,3.553,False
upper,19,R1C3,Bi-207-8890,31.526,0.548,False
upper,19,R2C1,Bi-207-9176,32.856,5.623,False
upper,19,R2C2,Bi-207-9177,32.513,2.1,True
upper,19,R2C3,Bi-207-8779,32.658,-1.648,False
upper,20,R1C2,Cd-109-9178,31.546,4.555,False
upper,20,R1C3,Bi-207-8890,31.531,1.549,False
upper,20,R2C1,Bi-207-9176,32.861,6.625,False
upper,20,R2C2,Bi-207-9177,32.518,3.102,True
upper,20,R2C3,Bi-207-8779,32.663,-0.646,False
upper,21,R1C2,Cd-109-9178,31.55,5.557,False
upper,21,R1C3,Bi-207-8890,31.536,2.551,False
upper,21,R2C1,Bi-207-9176,32.866,7.626,False
