position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.818,-0.104,lower,R1C1,1036,2.28,True
1,32.818,-0.104,lower,R1C2,1040,2.12,True
1,32.818,-0.104,lower,R1C3,1055,3.59,False
1,32.818,-0.104,lower,R2C1,1084,1.91,True
1,32.818,-0.104,lower,R2C2,1088,3.53,False
1,32.818,-0.104,lower,R2C3,1091,2.34,True
1,32.818,-0.104,upper,R1C1,72,1.19,True
1,32.818,-0.104,upper,R1C2,76,0.49,True
1,32.818,-0.104,upper,R1C3,80,1.64,True
1,32.818,-0.104,upper,R2C2,29,3.7,False
2,33.218,0.446,lower,R1C1,1027,2.51,True
2,33.218,0.446,lower,R1C2,1031,2.11,True
2,33.218,0.446,lower,R2C1,1074,1.87,True
2,33.218,0.446,lower,R2C2,1078,3.95,False
2,33.218,0.446,lower,R2C3,1081,3.11,False
2,33.218,0.446,upper,R1C1,85,1.59,True
2,33.218,0.446,upper,R1C2,89,2.42,True
2,33.218,0.446,upper,R2C1,49,3.64,False
2,33.218,0.446,upper,R2C2,41,1.33,True
3,32.518,0.096,lower,R1C1,1048,3.82,False
3,32.518,0.096,lower,R1C2,1052,1.55,True
3,32.518,0.096,lower,R1C3,1055,4.0,False
3,32.518,0.096,lower,R2C1,1095,3.69,False
3,32.518,0.096,lower,R2C2,1099,1.72,True
3,32.518,0.096,lower,R2C3,1102,1.69,True
3,32.518,0.096,upper,R1C1,60,2.58,True
3,32.518,0.096,upper,R1C2,64,1.94,True
3,32.518,0.096,upper,R1C3,68,2.18,True
3,32.518,0.096,upper,R2C1,36,4.0,False
3,32.518,0.096,upper,R2C3,44,4.03,False
4,32.118,0.296,lower,R1C1,1061,3.69,False
4,32.118,0.296,lower,R1C2,1065,1.6,True
4,32.118,0.296,lower,R1C3,1068,4.03,False
4,32.118,0.296,lower,R2C1,1105,3.57,False
4,32.118,0.296,lower,R2C2,1109,1.85,True
4,32.118,0.296,upper,R1C1,48,2.24,True
4,32.118,0.296,upper,R1C2,52,1.82,True
4,32.118,0.296,upper,R1C3,56,1.61,True
5,34.268,0.446,lower,R1C2,1013,2.9,False
5,34.268,0.446,lower,R2C1,1038,2.5,True
5,34.268,0.446,lower,R2C2,1053,1.68,True
5,34.268,0.446,lower,R2C3,1056,4.46,False
5,34.268,0.446,upper,R1C1,105,2.19,True
5,34.268,0.446,upper,R1C2,109,1.44,True
5,34.268,0.446,upper,R2C1,85,4.3,False
6,31.418,-0.504,lower,R1C3,1090,0.3,True
6,31.418,-0.504,upper,R1C2,38,3.99,False
6,31.418,-0.504,upper,R1C3,42,2.05,True
6,31.418,-0.504,upper,R2C3,14,1.79,True
7,32.568,-0.504,lower,R1C2,1050,2.51,True
7,32.568,-0.504,lower,R1C3,1054,3.26,False
7,32.568,-0.504,lower,R2C2,1097,2.77,False
7,32.568,-0.504,lower,R2C3,1101,4.39,False
7,32.568,-0.504,upper,R1C2,75,2.65,False
7,32.568,-0.504,upper,R1C3,79,3.53,False
7,32.568,-0.504,upper,R2C2,28,2.08,True
7,32.568,-0.504,upper,R2C3,42,4.4,False
8,32.818,0.246,lower,R1C1,1037,1.85,True
8,32.818,0.246,lower,R1C2,1041,2.55,True
8,32.818,0.246,lower,R1C3,1056,3.55,False
8,32.818,0.246,lower,R2C1,1085,1.55,True
8,32.818,0.246,lower,R2C2,1089,3.86,False
8,32.818,0.246,lower,R2C3,1092,2.34,True
8,32.818,0.246,upper,R1C1,73,0.74,True
8,32.818,0.246,upper,R1C2,77,1.12,True
8,32.818,0.246,upper,R1C3,81,2.23,True
8,32.818,0.246,upper,R2C1,37,4.22,False
8,32.818,0.246,upper,R2C2,30,2.55,True
9,33.218,0.046,lower,R1C1,1026,1.98,True
9,33.218,0.046,lower,R1C2,1030,2.42,True
9,33.218,0.046,lower,R1C3,1044,3.6,False
9,33.218,0.046,lower,R2C1,1073,1.68,True
9,33.218,0.046,lower,R2C2,1077,3.73,False
9,33.218,0.046,lower,R2C3,1080,2.29,True
9,33.218,0.046,upper,R1C1,84,1.1,True
