position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.818,-0.104,4,6
2,33.218,0.446,4,5
3,32.518,0.096,5,6
4,32.118,0.296,3,5
5,34.268,0.446,3,4
6,31.418,-0.504,3,1
7,32.568,-0.504,4,4
8,32.818,0.246,5,6
9,33.218,0.046,4,6
10,32.418,0.446,5,5
11,33.418,-0.354,5,4
12,33.168,-0.204,5,4
13,33.568,-0.104,5,4
14,33.668,0.196,5,5
15,32.618,-0.354,4,4
16,32.218,-0.154,4,4
17,32.118,-0.504,3,5
18,33.968,-0.254,5,4
19,31.968,0.346,5,4
20,32.968,-0.504,3,4
21,31.618,0.146,3,4
22,34.368,-0.454,4,2
23,33.668,-0.454,3,5
24,34.068,-0.004,4,4
25,32.318,0.146,5,4
26,31.768,-0.304,3,4
27,34.068,0.346,5,5
28,31.718,-0.504,4,4
29,32.868,0.446,5,3
30,33.668,0.446,5,4
31,33.118,-0.504,4,4
32,31.318,0.446,1,2
33,34.118,0.446,4,4
34,34.918,0.446,2,1
35,32.168,0.446,4,5
36,33.968,-0.504,4,5
