detector,pixel_number,slot,source,linear_position,horizontal_position,within_scanned_range
upper,1,R1C1,Bi-207-8890,29.871,0.453,False
upper,1,R1C2,Bi-207-9177,29.584,-0.867,False
upper,1,R1C3,Bi-207-9176,29.297,-2.187,False
upper,1,R2C1,Sn-113-9183,31.129,0.306,False
upper,1,R2C2,Cd-109-9178,31.309,-0.843,False
upper,1,R2C3,Ce-139-9179,30.554,-2.334,False
upper,2,R1C1,Bi-207-8890,29.943,0.783,False
upper,2,R1C2,Bi-207-9177,29.656,-0.537,False
upper,2,R1C3,Bi-207-9176,29.368,-1.857,False
upper,2,R2C1,Sn-113-9183,31.201,0.636,False
upper,2,R2C2,Cd-109-9178,31.381,-0.513,False
upper,2,R2C3,Ce-139-9179,30.626,-2.004,False
upper,3,R1C1,Bi-207-8890,30.014,1.113,False
upper,3,R1C2,Bi-207-9177,29.727,-0.207,False
upper,3,R1C3,Bi-207-9176,29.44,-1.527,False
upper,3,R2C1,Sn-113-9183,31.272,0.966,False
upper,3,R2C2,Cd-109-9178,31.452,-0.183,False
upper,3,R2C3,Ce-139-9179,30.698,-1.674,False
upper,4,R1C1,Bi-207-8890,30.086,1.443,False
upper,4,R1C2,Bi-207-9177,29.799,0.123,False
upper,4,R1C3,Bi-207-9176,29.512,-1.197,False
upper,4,R2C1,Sn-113-9183,31.344,1.296,False
upper,4,R2C2,Cd-109-9178,31.524,0.147,False
upper,4,R2C3,Ce-139-9179,30.77,-1.344,False
upper,5,R1C1,Bi-207-8890,30.158,1.773,False
upper,5,R1C2,Bi-207-9177,29.871,0.453,False
upper,5,R1C3,Bi-207-9176,29.584,-0.867,False
upper,5,R2C1,Sn-113-9183,31.416,1.626,False
upper,5,R2C2,Cd-109-9178,31.596,0.477,False
upper,5,R2C3,Ce-139-9179,30.842,-1.014,False
upper,6,R1C1,Bi-207-8890,30.23,2.103,False
upper,6,R1C2,Bi-207-9177,29.943,0.783,False
upper,6,R1C3,Bi-207-9176,29.656,-0.537,False
upper,6,R2C1,Sn-113-9183,31.488,1.956,False
upper,6,R2C2,Cd-109-9178,31.668,0.807,False
upper,6,R2C3,Ce-139-9179,30.913,-0.684,False
upper,7,R1C1,Bi-207-8890,30.302,2.433,False
upper,7,R1C2,Bi-207-9177,30.014,1.113,False
upper,7,R1C3,Bi-207-9176,29.727,-0.207,False
upper,7,R2C1,Sn-113-9183,31.559,2.286,False
upper,7,R2C2,Cd-109-9178,31.739,1.137,False
upper,7,R2C3,Ce-139-9179,30.985,-0.354,False
upper,8,R1C1,Bi-207-8890,30.266,0.294,False
upper,8,R1C2,Bi-207-9177,29.979,-1.026,False
upper,8,R1C3,Bi-207-9176,29.692,-2.346,False
upper,8,R2C1,Sn-113-9183,31.524,0.147,False
upper,8,R2C2,Cd-109-9178,31.704,-1.002,False
upper,8,R2C3,Ce-139-9179,30.95,-2.493,False
upper,9,R1C1,Bi-207-8890,30.338,0.624,False
upper,9,R1C2,Bi-207-9177,30.051,-0.696,False
upper,9,R1C3,Bi-207-9176,29.764,-2.016,False
upper,9,R2C1,Sn-113-9183,31.596,0.477,False
upper,9,R2C2,Cd-109-9178,31.776,-0.672,False
