run,segment,pixel,change,old,new,under_check_row
8622,0,47,added,,Bi-207-9176,
8622,0,59,added,,Bi-207-9176,
8622,0,114,added,,Cd-109-9178,
8622,0,2010,added,,Cd-109-9178,
8622,0,2011,added,,Cd-109-9178,
8622,0,2013,added,,Bi-207-8890,
8622,0,2014,added,,Bi-207-8890,
8622,0,2018,added,,Cd-109-9178,
8622,0,2019,added,,Cd-109-9178,
8622,0,2022,added,,Bi-207-8890,
8622,0,2023,added,,Bi-207-8890,
8622,0,2036,added,,Bi-207-9176,
8622,0,2040,added,,Bi-207-9177,
8622,0,2047,added,,Bi-207-9176,
8622,0,2048,added,,Bi-207-9176,
8622,0,2051,added,,Bi-207-9177,
8622,0,2052,added,,Bi-207-9177,
8622,0,2053,added,,Bi-207-9177,
8622,0,2055,added,,Bi-207-8779,
8622,0,2056,added,,Bi-207-8779,
8622,0,2060,added,,Bi-207-9176,
8622,0,2064,added,,Bi-207-9177,
8622,0,2065,added,,Bi-207-9177,
8622,0,2068,added,,Bi-207-8779,
8622,0,2069,added,,Bi-207-8779,
8623,0,35,added,,Bi-207-9176,
8623,0,39,added,,Bi-207-9177,
8623,0,56,added,,Bi-207-8779,
8623,0,68,added,,Bi-207-8779,
8623,0,2022,added,,Bi-207-8890,
8623,0,2023,added,,Bi-207-8890,
8623,0,2028,added,,Cd-109-9178,
8623,0,2029,added,,Cd-109-9178,
8623,0,2031,added,,Bi-207-8890,
8623,0,2032,added,,Bi-207-8890,
8623,0,2033,added,,Bi-207-8890,
8623,0,2038,added,,Cd-109-9178,
8623,0,2039,added,,Cd-109-9178,
8623,0,2042,added,,Bi-207-8890,
8623,0,2043,added,,Bi-207-8890,
8623,0,2050,added,,Cd-109-9178,
8623,0,2060,added,,Bi-207-9176,
8623,0,2064,added,,Bi-207-9177,
8623,0,2065,added,,Bi-207-9177,
8623,0,2068,added,,Bi-207-8779,
8623,0,2069,added,,Bi-207-8779,
8623,0,2072,added,,Bi-207-9176,
8623,0,2073,added,,Bi-207-9176,
8623,0,2076,added,,Bi-207-9177,
8623,0,2077,added,,Bi-207-9177,
8623,0,2080,added,,Bi-207-8779,
8623,0,2081,added,,Bi-207-8779,
8623,0,2084,added,,Bi-207-9176,
8623,0,2088,added,,Bi-207-9177,
8624,0,24,added,,Bi-207-8779,
8624,0,25,added,,Bi-207-9176,
8624,0,30,added,,Bi-207-9177,
8624,0,34,added,,Bi-207-8779,
8624,0,87,added,,Cd-109-9178,
8624,0,2038,added,,Cd-109-9178,
8624,0,2039,added,,Cd-109-9178,
8624,0,2042,added,,Bi-207-8890,
8624,0,2049,added,,Cd-109-9178,
8624,0,2050,added,,Cd-109-9178,
8624,0,2051,added,,Cd-109-9178,
8624,0,2053,added,,Bi-207-8890,
8624,0,2054,added,,Bi-207-8890,
8624,0,2062,added,,Cd-109-9178,
8624,0,2063,added,,Cd-109-9178,
8624,0,2066,added,,Bi-207-8890,
8624,0,2077,added,,Bi-207-9177,
8624,0,2084,added,,Bi-207-9176,
8624,0,2085,added,,Bi-207-9176,
8624,0,2087,added,,Bi-207-9177,
8624,0,2088,added,,Bi-207-9177,
8624,0,2089,added,,Bi-207-9177,
8624,0,2092,added,,Bi-207-8779,
8624,0,2094,added,,Bi-207-9176,
8624,0,2095,added,,Bi-207-9176,
8624,0,2098,added,,Bi-207-9177,
8624,0,2099,added,,Bi-207-9177,
8624,0,2102,added,,Bi-207-8779,
8624,0,2112,added,,Bi-207-8779,
8625,0,9,added,,Bi-207-9176,
8625,0,11,added,,Bi-207-9177,
8625,0,52,added,,Bi-207-8890,
8625,0,2050,added,,Cd-109-9178,
