position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,33.746,-0.152,lower,R1C2,1028,0.04,True
1,33.746,-0.152,lower,R1C3,1031,3.27,False
1,33.746,-0.152,lower,R2C1,1060,3.15,False
1,33.746,-0.152,lower,R2C2,1064,2.19,True
1,33.746,-0.152,lower,R2C3,1067,2.36,True
1,33.746,-0.152,upper,R1C2,96,1.63,True
1,33.746,-0.152,upper,R1C3,100,4.27,False
1,33.746,-0.152,upper,R2C1,60,1.78,True
1,33.746,-0.152,upper,R2C2,64,2.58,True
1,33.746,-0.152,upper,R2C3,67,3.98,False
2,32.946,0.248,lower,R1C2,1051,1.1,True
2,32.946,0.248,lower,R1C3,1054,2.15,True
2,32.946,0.248,lower,R2C1,1085,2.2,True
2,32.946,0.248,lower,R2C2,1089,2.44,True
2,32.946,0.248,lower,R2C3,1092,1.31,True
2,32.946,0.248,upper,R1C2,75,2.54,True
2,32.946,0.248,upper,R1C3,66,4.49,False
2,32.946,0.248,upper,R2C1,37,1.54,True
2,32.946,0.248,upper,R2C2,41,1.66,True
3,33.346,0.398,lower,R1C2,1040,0.99,True
3,33.346,0.398,lower,R1C3,1043,2.28,True
3,33.346,0.398,lower,R2C1,1074,2.13,True
3,33.346,0.398,lower,R2C2,1078,2.71,False
3,33.346,0.398,lower,R2C3,1081,1.33,True
3,33.346,0.398,upper,R1C2,87,2.35,True
3,33.346,0.398,upper,R1C3,79,3.69,False
3,33.346,0.398,upper,R2C1,49,0.69,True
3,33.346,0.398,upper,R2C2,53,2.08,True
4,32.896,-0.152,lower,R1C2,1050,1.78,True
4,32.896,-0.152,lower,R1C3,1053,1.88,True
4,32.896,-0.152,lower,R2C1,1084,1.38,True
4,32.896,-0.152,lower,R2C2,1088,3.54,False
4,32.896,-0.152,lower,R2C3,1091,0.88,True
4,32.896,-0.152,upper,R1C2,74,2.22,True
4,32.896,-0.152,upper,R1C3,65,3.96,False
4,32.896,-0.152,upper,R2C1,36,0.96,True
4,32.896,-0.152,upper,R2C2,40,2.08,True
5,32.546,0.048,lower,R1C2,1063,2.35,True
5,32.546,0.048,lower,R1C3,1066,0.89,True
5,32.546,0.048,lower,R2C1,1095,1.3,True
5,32.546,0.048,lower,R2C2,1099,3.32,False
5,32.546,0.048,lower,R2C3,1102,0.49,True
5,32.546,0.048,upper,R1C2,62,1.93,True
5,32.546,0.048,upper,R1C3,66,4.42,False
5,32.546,0.048,upper,R2C1,26,1.63,True
5,32.546,0.048,upper,R2C2,30,2.27,True
