position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,33.746,-0.152,5,5
2,32.946,0.248,4,5
3,33.346,0.398,4,5
4,32.896,-0.152,4,5
5,32.546,0.048,5,5
6,33.846,0.148,4,5
7,34.246,-0.052,4,5
8,33.396,-0.352,5,5
9,33.296,-0.002,4,5
10,32.096,-0.052,2,4
11,32.596,0.448,4,4
12,34.646,0.098,4,5
13,31.696,-0.202,2,4
14,32.146,0.248,4,4
15,32.546,-0.252,3,4
16,32.896,-0.452,4,4
17,34.496,-0.152,5,3
18,35.346,0.248,2,1
19,35.146,-0.052,2,2
20,33.846,-0.252,4,5
21,32.646,-0.302,3,4
22,33.846,0.448,3,5
23,34.246,0.248,4,5
24,34.946,0.098,3,2
25,33.496,0.048,4,5
26,33.146,-0.352,4,4
27,34.046,0.398,5,5
28,31.146,0.098,2,1
29,31.696,0.198,2,3
30,34.746,0.198,4,2
31,30.996,0.098,2,1
32,33.046,-0.152,5,5
33,34.046,-0.302,5,2
34,34.696,-0.152,4,4
35,34.446,0.198,5,2
36,33.296,0.148,3,4
37,32.646,0.098,5,5
38,31.896,0.048,3,2
39,34.046,-0.052,5,5
40,35.446,-0.202,2,2
41,30.946,0.248,2,2
42,34.696,-0.202,4,5
43,34.046,-0.402,4,5
44,30.946,-0.002,2,2
45,31.596,0.248,4,3
