position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,33.346,0.448,5,5
2,32.496,0.098,5,5
3,32.896,0.248,5,5
4,34.896,-0.152,4,4
5,32.946,-0.102,5,5
6,33.296,-0.002,4,4
7,32.546,-0.252,5,5
8,34.146,-0.002,4,5
9,32.546,0.448,4,4
10,31.696,0.148,3,4
11,32.096,-0.102,5,4
12,32.146,0.248,4,5
13,34.946,0.198,4,5
14,34.496,-0.002,4,5
15,33.696,0.198,5,5
16,35.296,-0.002,4,2
17,31.346,0.248,3,4
18,33.696,-0.052,5,3
19,34.596,0.248,5,4
20,31.796,-0.202,3,4
21,31.396,-0.002,3,4
22,33.796,-0.352,4,4
23,33.246,-0.252,5,3
24,32.846,-0.402,5,3
25,34.096,-0.202,5,5
26,34.146,0.198,4,5
27,33.296,0.148,4,5
28,31.846,-0.002,4,4
29,34.046,0.398,5,5
30,34.896,0.048,5,5
31,34.496,-0.152,4,5
32,32.696,-0.102,4,3
33,30.996,-0.152,1,2
34,30.996,0.248,1,2
35,35.296,0.248,4,2
36,34.496,0.248,5,3
37,32.646,0.148,4,5
38,34.046,-0.452,4,4
39,31.446,-0.202,2,4
40,33.446,-0.302,5,5
41,33.996,0.098,5,4
42,33.196,-0.452,4,5
43,34.946,-0.202,5,5
44,30.946,-0.002,2,1
45,33.296,0.398,5,5
46,34.896,0.248,4,4
47,32.996,-0.102,5,5
48,31.046,0.098,2,1
49,33.696,0.248,5,5
50,35.046,-0.152,4,5
51,32.196,-0.002,4,5
52,32.446,-0.252,5,5
53,31.746,0.248,4,5
54,35.246,0.248,4,2
55,33.796,0.448,4,5
56,34.896,-0.202,5,5
57,30.946,0.248,2,2
58,34.996,0.248,4,5
59,35.446,-0.052,3,3
60,35.446,0.248,3,2
61,32.996,0.448,4,5
