position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.946,-0.402,2,3
2,31.896,0.248,3,4
3,32.546,0.148,4,4
4,34.146,-0.002,4,4
5,33.296,-0.002,4,3
6,33.696,-0.202,4,4
7,32.896,0.248,4,4
8,34.496,0.098,4,4
9,32.896,-0.152,4,4
10,33.296,0.398,4,4
11,33.796,0.198,3,4
12,33.346,-0.302,4,4
13,31.296,-0.002,2,2
14,34.546,-0.202,4,4
15,32.546,0.448,4,3
16,34.046,-0.402,4,4
17,31.046,-0.152,1,2
18,30.946,0.248,2,2
19,35.346,0.148,2,2
20,32.146,0.048,2,3
21,31.746,-0.102,2,3
22,32.596,-0.202,3,3
23,33.446,0.148,4,3
24,32.196,0.248,3,4
25,34.846,-0.102,3,2
26,35.446,-0.202,1,1
27,34.846,0.248,2,1
28,33.296,-0.402,3,3
29,32.946,-0.052,4,4
30,32.946,0.348,4,4
31,33.846,0.298,4,3
32,31.696,0.148,3,2
33,33.846,-0.052,4,3
34,32.196,-0.202,3,2
35,33.746,0.448,4,4
36,34.046,0.348,4,3
37,31.446,0.248,2,1
