position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.946,-0.402,lower,R1C2,1049,1.77,True
1,32.946,-0.402,lower,R1C3,1052,4.21,False
1,32.946,-0.402,lower,R2C2,1087,1.44,True
1,32.946,-0.402,upper,R1C2,73,2.43,True
1,32.946,-0.402,upper,R2C2,39,0.71,True
2,31.896,0.248,lower,R1C2,1087,3.48,False
2,31.896,0.248,lower,R1C3,1090,3.84,False
2,31.896,0.248,lower,R2C1,1105,4.36,False
2,31.896,0.248,lower,R2C2,1117,2.13,True
2,31.896,0.248,upper,R1C2,38,2.38,True
2,31.896,0.248,upper,R1C3,42,2.39,True
2,31.896,0.248,upper,R2C2,12,3.57,False
3,32.546,0.148,lower,R1C2,1063,0.47,True
3,32.546,0.148,lower,R1C3,1066,2.42,True
3,32.546,0.148,lower,R2C1,1095,2.59,True
3,32.546,0.148,lower,R2C2,1099,2.57,True
3,32.546,0.148,upper,R1C2,62,0.99,True
3,32.546,0.148,upper,R1C3,53,3.82,False
3,32.546,0.148,upper,R2C1,26,0.6,True
3,32.546,0.148,upper,R2C2,30,2.53,True
4,34.146,-0.002,lower,R1C2,1019,0.5,True
4,34.146,-0.002,lower,R1C3,1022,2.39,True
4,34.146,-0.002,lower,R2C1,1048,2.57,True
4,34.146,-0.002,lower,R2C2,1052,2.58,True
4,34.146,-0.002,upper,R1C2,106,0.96,True
4,34.146,-0.002,upper,R1C3,100,3.84,False
4,34.146,-0.002,upper,R2C1,73,0.63,True
4,34.146,-0.002,upper,R2C2,77,2.55,True
5,33.296,-0.002,lower,R1C2,1039,1.98,True
5,33.296,-0.002,lower,R1C3,1042,1.82,True
5,33.296,-0.002,lower,R2C1,1073,0.74,True
5,33.296,-0.002,upper,R1C2,86,2.39,True
5,33.296,-0.002,upper,R1C3,78,2.44,True
5,33.296,-0.002,upper,R2C1,48,2.6,True
5,33.296,-0.002,upper,R2C2,52,4.4,False
6,33.696,-0.202,lower,R1C2,1028,1.24,True
6,33.696,-0.202,lower,R1C3,1031,2.19,True
6,33.696,-0.202,lower,R2C1,1060,1.5,True
6,33.696,-0.202,lower,R2C2,1064,3.99,False
6,33.696,-0.202,upper,R1C2,96,2.04,True
6,33.696,-0.202,upper,R1C3,89,2.5,True
6,33.696,-0.202,upper,R2C1,60,1.9,True
6,33.696,-0.202,upper,R2C2,64,3.63,False
7,32.896,0.248,lower,R1C2,1051,1.63,True
7,32.896,0.248,lower,R1C3,1054,1.9,True
7,32.896,0.248,lower,R2C1,1085,1.06,True
7,32.896,0.248,lower,R2C2,1089,4.32,False
7,32.896,0.248,upper,R1C2,75,2.16,True
7,32.896,0.248,upper,R1C3,66,2.49,True
7,32.896,0.248,upper,R2C1,37,2.26,True
7,32.896,0.248,upper,R2C2,41,4.05,False
8,34.496,0.098,lower,R1C2,1011,1.65,True
8,34.496,0.098,lower,R1C3,1014,1.86,True
8,34.496,0.098,lower,R2C1,1037,1.02,True
8,34.496,0.098,lower,R2C2,1041,4.33,False
8,34.496,0.098,upper,R1C2,115,2.15,True
8,34.496,0.098,upper,R1C3,110,2.52,True
8,34.496,0.098,upper,R2C1,85,2.27,True
8,34.496,0.098,upper,R2C2,89,4.07,False
9,32.896,-0.152,lower,R1C2,1050,1.77,True
9,32.896,-0.152,lower,R1C3,1053,1.94,True
9,32.896,-0.152,lower,R2C1,1084,0.98,True
9,32.896,-0.152,lower,R2C2,1088,4.47,False
9,32.896,-0.152,upper,R1C2,74,2.3,True
9,32.896,-0.152,upper,R1C3,65,2.39,True
9,32.896,-0.152,upper,R2C1,36,2.4,True
9,32.896,-0.152,upper,R2C2,40,4.18,False
10,33.296,0.398,lower,R1C2,1040,1.84,True
10,33.296,0.398,lower,R1C3,1043,1.77,True
10,33.296,0.398,lower,R2C1,1074,0.82,True
10,33.296,0.398,lower,R2C2,1078,4.5,False
10,33.296,0.398,upper,R1C2,87,2.24,True
10,33.296,0.398,upper,R1C3,79,2.53,True
10,33.296,0.398,upper,R2C1,49,2.46,True
10,33.296,0.398,upper,R2C2,53,4.27,False
11,33.796,0.198,lower,R1C2,1029,1.69,True
11,33.796,0.198,lower,R1C3,1032,1.6,True
11,33.796,0.198,lower,R2C1,1061,2.47,True
11,33.796,0.198,lower,R2C2,1065,2.96,False
11,33.796,0.198,upper,R1C2,97,0.35,True
11,33.796,0.198,upper,R2C1,61,1.7,True
11,33.796,0.198,upper,R2C2,65,3.47,False
12,33.346,-0.302,lower,R1C2,1038,0.53,True
12,33.346,-0.302,lower,R1C3,1041,2.86,False
12,33.346,-0.302,lower,R2C1,1072,3.0,False
12,33.346,-0.302,lower,R2C2,1076,2.24,True
12,33.346,-0.302,upper,R1C2,85,1.29,True
12,33.346,-0.302,upper,R1C3,77,3.98,False
12,33.346,-0.302,upper,R2C1,47,0.15,True
12,33.346,-0.302,upper,R2C2,51,2.08,True
13,31.296,-0.002,lower,R1C2,1097,1.75,True
13,31.296,-0.002,lower,R1C3,1100,1.98,True
13,31.296,-0.002,upper,R1C2,27,2.31,True
13,31.296,-0.002,upper,R1C3,21,2.37,True
14,34.546,-0.202,lower,R1C2,1010,0.83,True
14,34.546,-0.202,lower,R1C3,1013,3.16,False
14,34.546,-0.202,lower,R2C1,1036,3.33,False
14,34.546,-0.202,lower,R2C2,1040,1.94,True
14,34.546,-0.202,upper,R1C2,114,1.47,True
14,34.546,-0.202,upper,R1C3,109,4.22,False
14,34.546,-0.202,upper,R2C1,84,0.18,True
14,34.546,-0.202,upper,R2C2,88,1.77,True
15,32.546,0.448,lower,R1C2,1064,2.3,True
15,32.546,0.448,lower,R1C3,1067,0.72,True
15,32.546,0.448,lower,R2C1,1096,0.8,True
15,32.546,0.448,upper,R1C2,63,1.98,True
15,32.546,0.448,upper,R1C3,54,3.52,False
15,32.546,0.448,upper,R2C1,27,2.76,False
15,32.546,0.448,upper,R2C2,30,4.34,False
16,34.046,-0.402,lower,R1C2,1018,1.62,True
16,34.046,-0.402,lower,R1C3,1021,3.41,False
16,34.046,-0.402,lower,R2C1,1047,2.54,True
16,34.046,-0.402,lower,R2C2,1051,4.18,False
16,34.046,-0.402,upper,R1C2,105,2.94,False
16,34.046,-0.402,upper,R1C3,99,1.95,True
16,34.046,-0.402,upper,R2C1,72,2.19,True
16,34.046,-0.402,upper,R2C2,76,3.36,False
17,31.046,-0.152,lower,R1C2,1106,2.53,True
17,31.046,-0.152,lower,R1C3,1109,1.65,True
17,31.046,-0.152,upper,R1C2,17,1.1,True
18,30.946,0.248,lower,R1C2,1107,1.26,True
18,30.946,0.248,lower,R1C3,1110,1.44,True
18,30.946,0.248,upper,R1C2,18,1.21,True
18,30.946,0.248,upper,R1C3,13,3.43,False
19,35.346,0.148,lower,R2C1,1017,4.01,False
19,35.346,0.148,lower,R2C2,1021,1.4,True
19,35.346,0.148,upper,R2C1,105,0.86,True
19,35.346,0.148,upper,R2C2,109,1.14,True
20,32.146,0.048,lower,R1C2,1075,1.36,True
20,32.146,0.048,lower,R1C3,1078,3.76,False
20,32.146,0.048,lower,R2C2,1108,1.56,True
20,32.146,0.048,upper,R1C2,49,2.0,True
20,32.146,0.048,upper,R2C2,20,1.16,True
21,31.746,-0.102,lower,R1C2,1086,1.58,True
21,31.746,-0.102,lower,R1C3,1089,4.0,False
21,31.746,-0.102,lower,R2C2,1116,1.49,True
21,31.746,-0.102,upper,R1C2,37,2.23,True
21,31.746,-0.102,upper,R2C2,11,0.92,True
22,32.596,-0.202,lower,R1C2,1062,1.72,True
22,32.596,-0.202,lower,R1C3,1065,3.43,False
22,32.596,-0.202,lower,R2C2,1098,1.16,True
22,32.596,-0.202,upper,R1C2,61,1.51,True
22,32.596,-0.202,upper,R1C3,65,3.86,False
22,32.596,-0.202,upper,R2C2,29,1.8,True
23,33.446,0.148,lower,R1C2,1039,3.06,False
23,33.446,0.148,lower,R1C3,1042,4.37,False
23,33.446,0.148,lower,R2C2,1077,0.79,True
23,33.446,0.148,upper,R1C2,86,2.53,True
23,33.446,0.148,upper,R1C3,90,2.55,True
23,33.446,0.148,upper,R2C1,48,2.42,True
23,33.446,0.148,upper,R2C2,52,2.32,True
24,32.196,0.248,lower,R1C2,1076,3.37,False
24,32.196,0.248,lower,R1C3,1079,0.7,True
24,32.196,0.248,lower,R2C1,1105,1.71,True
24,32.196,0.248,lower,R2C2,1108,3.82,False
24,32.196,0.248,upper,R1C2,50,2.59,True
24,32.196,0.248,upper,R2C1,17,3.71,False
24,32.196,0.248,upper,R2C2,20,3.74,False
25,34.846,-0.102,lower,R2C1,1026,2.1,True
25,34.846,-0.102,lower,R2C2,1030,4.41,False
25,34.846,-0.102,upper,R1C3,118,1.75,True
25,34.846,-0.102,upper,R2C1,95,2.35,True
25,34.846,-0.102,upper,R2C2,99,3.72,False
26,34.046,0.348,lower,R1C2,1020,1.93,True
26,34.046,0.348,lower,R1C3,1023,2.82,False
26,34.046,0.348,lower,R2C1,1049,1.71,True
26,34.046,0.348,upper,R1C2,107,2.9,False
26,34.046,0.348,upper,R1C3,101,1.64,True
26,34.046,0.348,upper,R2C1,74,2.59,True
26,34.046,0.348,upper,R2C2,78,4.1,False
27,33.746,0.448,lower,R1C2,1030,4.24,False
27,33.746,0.448,lower,R1C3,1033,1.95,True
27,33.746,0.448,lower,R2C1,1062,1.8,True
27,33.746,0.448,lower,R2C2,1065,2.89,False
27,33.746,0.448,upper,R1C2,98,3.83,False
27,33.746,0.448,upper,R1C3,91,4.28,False
27,33.746,0.448,upper,R2C1,61,4.29,False
27,33.746,0.448,upper,R2C2,65,2.4,True
28,31.446,0.248,lower,R1C3,1101,2.54,True
28,31.446,0.248,upper,R1C2,28,4.3,False
28,31.446,0.248,upper,R1C3,31,2.96,False
