position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.546,0.098,lower,R1C2,1063,1.3,True
1,32.546,0.098,lower,R1C3,1066,1.4,True
1,32.546,0.098,lower,R2C1,1095,1.51,True
1,32.546,0.098,lower,R2C2,1099,3.61,False
1,32.546,0.098,upper,R1C2,62,1.87,True
1,32.546,0.098,upper,R2C1,26,0.69,True
1,32.546,0.098,upper,R2C2,30,1.28,True
2,32.946,0.248,lower,R1C2,1051,1.53,True
2,32.946,0.248,lower,R1C3,1054,1.18,True
2,32.946,0.248,lower,R2C1,1085,1.33,True
2,32.946,0.248,lower,R2C2,1089,3.81,False
2,32.946,0.248,upper,R1C2,75,1.67,True
2,32.946,0.248,upper,R1C3,66,3.82,False
2,32.946,0.248,upper,R2C1,37,0.36,True
2,32.946,0.248,upper,R2C2,41,1.88,True
3,32.946,-0.102,lower,R1C2,1050,0.6,True
3,32.946,-0.102,lower,R1C3,1053,2.11,True
3,32.946,-0.102,lower,R2C1,1084,2.24,True
3,32.946,-0.102,lower,R2C2,1088,2.9,False
3,32.946,-0.102,upper,R1C2,74,0.82,True
3,32.946,-0.102,upper,R1C3,65,4.34,False
3,32.946,-0.102,upper,R2C1,36,0.58,True
3,32.946,-0.102,upper,R2C2,40,2.34,True
4,33.346,0.398,lower,R1C2,1040,1.77,True
4,33.346,0.398,lower,R1C3,1043,0.97,True
4,33.346,0.398,lower,R2C1,1074,1.17,True
4,33.346,0.398,lower,R2C2,1078,4.02,False
4,33.346,0.398,upper,R1C2,87,1.83,True
4,33.346,0.398,upper,R1C3,79,3.06,False
4,33.346,0.398,upper,R2C1,49,1.02,True
4,33.346,0.398,upper,R2C2,53,2.59,True
5,33.296,-0.002,lower,R1C2,1039,1.98,True
5,33.296,-0.002,lower,R1C3,1042,1.82,True
5,33.296,-0.002,lower,R2C1,1073,0.74,True
5,33.296,-0.002,upper,R1C2,86,2.21,True
5,33.296,-0.002,upper,R1C3,78,2.55,True
5,33.296,-0.002,upper,R2C1,48,2.42,True
5,33.296,-0.002,upper,R2C2,52,4.24,False
6,33.696,0.198,lower,R1C2,1029,1.1,True
6,33.696,0.198,lower,R1C3,1032,2.18,True
6,33.696,0.198,lower,R2C1,1061,1.6,True
6,33.696,0.198,lower,R2C2,1065,3.84,False
6,33.696,0.198,upper,R1C2,97,2.45,True
6,33.696,0.198,upper,R1C3,90,2.09,True
6,33.696,0.198,upper,R2C1,61,2.12,True
6,33.696,0.198,upper,R2C2,65,3.7,False
7,34.146,-0.002,lower,R1C2,1019,0.5,True
7,34.146,-0.002,lower,R1C3,1022,2.39,True
7,34.146,-0.002,lower,R2C1,1048,2.57,True
7,34.146,-0.002,lower,R2C2,1052,2.58,True
7,34.146,-0.002,upper,R1C2,106,1.93,True
7,34.146,-0.002,upper,R1C3,100,3.31,False
7,34.146,-0.002,upper,R2C1,73,2.6,True
7,34.146,-0.002,upper,R2C2,76,4.49,False
8,32.546,0.448,lower,R1C2,1064,2.3,True
8,32.546,0.448,lower,R1C3,1067,0.72,True
8,32.546,0.448,lower,R2C1,1096,0.8,True
8,32.546,0.448,upper,R1C2,63,2.64,False
8,32.546,0.448,upper,R1C3,54,4.26,False
8,32.546,0.448,upper,R2C1,27,1.27,True
8,32.546,0.448,upper,R2C2,31,1.02,True
9,32.146,0.248,lower,R1C2,1076,3.18,False
9,32.146,0.248,lower,R1C3,1079,1.1,True
9,32.146,0.248,lower,R2C1,1105,0.88,True
9,32.146,0.248,lower,R2C2,1108,3.91,False
9,32.146,0.248,upper,R1C2,50,1.73,True
9,32.146,0.248,upper,R1C3,42,4.17,False
9,32.146,0.248,upper,R2C1,17,0.37,True
9,32.146,0.248,upper,R2C2,21,1.58,True
10,34.596,0.248,lower,R1C2,1011,2.56,True
10,34.596,0.248,lower,R1C3,1014,4.43,False
10,34.596,0.248,lower,R2C2,1041,0.22,True
10,34.596,0.248,upper,R1C2,115,0.88,True
10,34.596,0.248,upper,R1C3,110,3.95,False
10,34.596,0.248,upper,R2C1,85,0.61,True
10,34.596,0.248,upper,R2C2,89,2.53,True
11,34.546,-0.002,lower,R1C2,1011,3.79,False
11,34.546,-0.002,lower,R1C3,1014,1.57,True
11,34.546,-0.002,lower,R2C1,1037,1.38,True
11,34.546,-0.002,lower,R2C2,1040,3.32,False
11,34.546,-0.002,upper,R1C2,114,2.96,False
11,34.546,-0.002,upper,R2C1,84,1.76,True
11,34.546,-0.002,upper,R2C2,88,0.17,True
12,33.746,-0.052,lower,R1C2,1028,2.46,True
12,33.746,-0.052,lower,R1C3,1032,4.3,False
12,33.746,-0.052,lower,R2C1,1061,4.07,False
12,33.746,-0.052,lower,R2C2,1064,1.29,True
12,33.746,-0.052,upper,R1C2,96,1.88,True
12,33.746,-0.052,upper,R2C1,60,0.73,True
12,33.746,-0.052,upper,R2C2,64,1.25,True
13,33.796,-0.352,lower,R1C3,1031,1.96,True
13,33.796,-0.352,lower,R2C1,1060,2.35,True
13,33.796,-0.352,lower,R2C2,1063,2.55,True
13,33.796,-0.352,upper,R1C2,95,2.79,False
13,33.796,-0.352,upper,R1C3,99,2.65,False
13,33.796,-0.352,upper,R2C1,59,2.49,True
13,33.796,-0.352,upper,R2C2,63,2.06,True
14,33.346,-0.252,lower,R1C2,1038,1.56,True
14,33.346,-0.252,lower,R1C3,1041,3.97,False
14,33.346,-0.252,lower,R2C1,1072,4.13,False
14,33.346,-0.252,lower,R2C2,1076,1.48,True
14,33.346,-0.252,upper,R1C2,85,1.02,True
14,33.346,-0.252,upper,R1C3,89,4.29,False
14,33.346,-0.252,upper,R2C1,47,0.74,True
14,33.346,-0.252,upper,R2C2,51,2.12,True
15,34.046,-0.302,lower,R1C2,1018,2.4,True
15,34.046,-0.302,lower,R2C2,1051,3.27,False
15,34.046,-0.302,upper,R1C2,105,2.32,True
15,34.046,-0.302,upper,R1C3,99,2.22,True
15,34.046,-0.302,upper,R2C1,72,2.03,True
15,34.046,-0.302,upper,R2C2,76,3.66,False
16,31.696,0.148,lower,R1C2,1087,1.96,True
16,31.696,0.148,lower,R1C3,1090,1.86,True
16,31.696,0.148,upper,R1C2,38,3.74,False
16,31.696,0.148,upper,R2C2,12,0.7,True
17,32.546,-0.252,lower,R1C2,1062,0.41,True
