position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.546,0.098,3,4
2,32.946,0.248,4,4
3,32.946,-0.102,4,4
4,33.346,0.398,4,4
5,33.296,-0.002,4,3
6,33.696,0.198,4,4
7,34.146,-0.002,4,4
8,32.546,0.448,4,3
9,32.146,0.248,4,4
10,34.596,0.248,4,3
11,34.546,-0.002,3,4
12,33.746,-0.052,3,4
13,33.796,-0.352,4,3
14,33.346,-0.252,4,4
15,34.046,-0.302,4,2
16,31.696,0.148,2,2
17,32.546,-0.252,3,3
18,32.096,-0.052,2,3
19,31.746,-0.202,3,3
20,34.046,0.348,3,3
21,34.896,0.048,3,2
22,34.496,-0.152,4,4
23,34.896,-0.152,1,1
24,35.296,-0.002,1,1
25,30.996,-0.152,1,2
26,30.996,0.248,1,2
27,33.346,0.098,4,4
28,31.296,0.148,2,1
29,33.246,-0.352,3,3
30,32.646,-0.202,3,3
31,32.646,0.148,4,4
32,31.846,-0.002,2,2
33,33.696,0.448,4,4
34,34.996,0.148,2,2
35,35.396,0.248,2,2
36,31.396,-0.052,2,2
37,32.996,-0.102,4,4
38,34.196,-0.202,4,3
39,31.246,0.148,2,1
40,30.946,-0.002,2,1
41,32.146,-0.002,3,3
42,33.296,0.398,4,4
43,34.096,-0.002,3,4
44,32.946,-0.402,3,3
45,31.446,0.248,2,1
46,34.446,0.098,2,3
47,34.046,-0.452,2,3
48,34.196,0.198,4,3
49,31.846,0.148,3,3
50,31.746,0.248,4,3
51,32.446,0.398,4,3
52,32.696,0.448,4,4
53,31.496,0.248,2,2
54,34.646,0.248,4,2
55,34.846,-0.202,2,1
56,30.946,0.248,2,2
57,32.946,0.448,4,4
