position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.546,0.148,4,4
2,34.146,-0.002,4,4
3,33.296,-0.002,4,3
4,33.696,-0.202,4,4
5,32.896,0.248,4,4
6,34.496,0.098,4,4
7,32.896,-0.152,4,4
8,33.296,0.398,4,4
9,33.796,0.198,3,4
10,33.346,-0.302,4,4
11,31.296,-0.002,2,2
12,34.546,-0.202,4,4
13,31.746,0.248,3,3
14,32.546,0.448,4,3
15,34.046,-0.402,4,4
16,31.046,-0.152,1,2
17,30.946,0.248,2,2
18,35.346,0.148,2,2
19,32.146,0.048,2,3
20,31.746,-0.102,2,3
21,32.596,-0.202,3,3
22,34.046,0.348,4,3
23,33.446,0.148,4,3
24,32.196,0.248,3,4
25,34.846,-0.102,3,2
26,34.846,0.248,2,1
27,33.296,-0.402,3,3
28,32.946,-0.052,4,4
29,32.946,0.348,4,4
30,35.346,-0.102,1,2
31,31.696,0.148,3,2
32,33.846,-0.052,4,3
33,32.596,-0.452,3,2
34,32.196,-0.202,3,2
35,34.996,-0.002,2,1
36,32.946,-0.402,2,3
37,32.496,0.448,4,3
38,32.496,0.098,4,4
39,33.696,-0.452,3,3
40,34.046,-0.302,4,2
41,34.146,0.248,4,4
42,33.796,0.448,3,4
43,31.896,0.248,3,4
44,31.446,0.248,2,1
45,31.046,0.248,2,2
46,33.446,0.448,4,4
47,32.946,0.448,4,4
48,32.796,0.448,4,4
