position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.946,0.198,lower,R1C2,1051,2.64,False
1,32.946,0.198,lower,R1C3,1054,0.79,True
1,32.946,0.198,lower,R2C1,1085,0.69,True
1,32.946,0.198,lower,R2C2,1088,4.43,False
1,32.946,0.198,upper,R1C2,75,1.25,True
1,32.946,0.198,upper,R1C3,66,3.29,False
1,32.946,0.198,upper,R2C1,37,1.32,True
1,32.946,0.198,upper,R2C2,41,3.22,False
2,34.146,0.048,lower,R1C2,1019,1.15,True
2,34.146,0.048,lower,R1C3,1022,3.49,False
2,34.146,0.048,lower,R2C1,1048,3.68,False
2,34.146,0.048,lower,R2C2,1052,1.66,False
2,34.146,0.048,upper,R1C2,106,1.19,True
2,34.146,0.048,upper,R1C3,100,3.35,False
2,34.146,0.048,upper,R2C1,73,1.27,True
2,34.146,0.048,upper,R2C2,77,3.18,False
3,32.546,0.048,lower,R1C2,1063,2.4,False
3,32.546,0.048,lower,R1C3,1066,0.8,True
3,32.546,0.048,lower,R2C1,1095,0.68,True
3,32.546,0.048,upper,R1C2,62,0.8,True
3,32.546,0.048,upper,R1C3,53,3.96,False
3,32.546,0.048,upper,R2C1,26,0.69,True
3,32.546,0.048,upper,R2C2,30,2.61,False
4,32.946,-0.102,lower,R1C2,1050,0.6,True
4,32.946,-0.102,lower,R1C3,1053,2.11,False
4,32.946,-0.102,lower,R2C1,1084,2.24,False
4,32.946,-0.102,lower,R2C2,1088,2.9,False
4,32.946,-0.102,upper,R1C2,74,0.82,True
4,32.946,-0.102,upper,R1C3,65,4.34,False
4,32.946,-0.102,upper,R2C1,36,0.58,True
4,32.946,-0.102,upper,R2C2,40,2.34,False
5,33.346,0.048,lower,R1C2,1039,0.81,True
5,33.346,0.048,lower,R1C3,1042,1.88,False
5,33.346,0.048,lower,R2C1,1073,2.03,False
5,33.346,0.048,lower,R2C2,1077,3.09,False
5,33.346,0.048,upper,R1C2,86,0.95,True
5,33.346,0.048,upper,R1C3,78,3.65,False
5,33.346,0.048,upper,R2C1,48,0.96,True
5,33.346,0.048,upper,R2C2,52,2.88,False
6,34.646,0.248,lower,R1C2,1011,3.31,False
6,34.646,0.248,lower,R2C2,1041,0.79,True
6,34.646,0.248,upper,R1C2,115,0.42,True
6,34.646,0.248,upper,R1C3,119,4.32,False
6,34.646,0.248,upper,R2C1,85,1.29,True
6,34.646,0.248,upper,R2C2,89,2.86,False
7,33.746,-0.052,lower,R1C2,1028,2.46,False
7,33.746,-0.052,lower,R1C3,1032,4.3,False
7,33.746,-0.052,lower,R2C1,1061,4.07,False
7,33.746,-0.052,lower,R2C2,1064,1.29,True
7,33.746,-0.052,upper,R1C2,96,1.88,False
7,33.746,-0.052,upper,R2C1,60,0.73,True
7,33.746,-0.052,upper,R2C2,64,1.25,True
8,34.596,-0.102,lower,R1C2,1010,3.4,False
