position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.946,0.198,4,4
2,34.146,0.048,4,4
3,32.546,0.048,4,3
4,32.946,-0.102,4,4
5,33.346,0.048,4,4
6,34.646,0.248,4,2
7,33.746,-0.052,3,4
8,34.596,-0.102,3,4
9,34.546,0.048,3,4
10,34.896,-0.152,1,1
11,32.496,-0.202,2,3
12,31.746,-0.202,3,3
13,33.396,0.148,4,3
14,34.146,-0.202,4,4
15,33.246,0.348,3,3
16,33.646,0.148,3,3
17,31.146,0.148,1,2
18,34.546,0.198,4,4
19,31.396,0.148,1,2
20,32.846,-0.402,3,2
21,31.796,0.048,3,3
22,34.746,0.048,2,1
23,31.896,0.148,3,3
24,32.446,0.348,4,3
25,30.946,0.248,2,2
26,33.746,0.448,4,4
27,34.596,-0.202,4,4
28,30.946,-0.052,2,2
29,31.446,0.248,2,1
30,31.746,0.248,4,3
