position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,34.146,-0.002,lower,R1C2,1019,0.5,True
1,34.146,-0.002,lower,R1C3,1022,2.39,False
1,34.146,-0.002,lower,R2C1,1048,2.57,False
1,34.146,-0.002,lower,R2C2,1052,2.58,False
1,34.146,-0.002,upper,R1C2,106,0.96,True
1,34.146,-0.002,upper,R1C3,100,3.84,False
1,34.146,-0.002,upper,R2C1,73,0.63,True
1,34.146,-0.002,upper,R2C2,77,2.55,False
2,34.546,0.148,lower,R1C2,1011,0.64,True
2,34.546,0.148,lower,R1C3,1014,2.15,False
2,34.546,0.148,lower,R2C1,1037,2.36,False
2,34.546,0.148,lower,R2C2,1041,2.76,False
2,34.546,0.148,upper,R1C2,115,0.85,True
2,34.546,0.148,upper,R1C3,110,3.79,False
2,34.546,0.148,upper,R2C1,85,0.86,True
2,34.546,0.148,upper,R2C2,89,2.79,False
3,32.946,0.248,lower,R1C2,1051,1.53,False
3,32.946,0.248,lower,R1C3,1054,1.18,True
3,32.946,0.248,lower,R2C1,1085,1.33,True
3,32.946,0.248,lower,R2C2,1089,3.81,False
3,32.946,0.248,upper,R1C2,75,1.33,True
3,32.946,0.248,upper,R1C3,66,3.48,False
3,32.946,0.248,upper,R2C1,37,1.97,False
3,32.946,0.248,upper,R2C2,41,3.9,False
4,33.346,0.148,lower,R1C2,1039,1.69,False
4,33.346,0.148,lower,R1C3,1042,4.06,False
4,33.346,0.148,lower,R2C1,1073,4.25,False
4,33.346,0.148,lower,R2C2,1077,1.35,True
4,33.346,0.148,upper,R1C2,86,2.26,False
4,33.346,0.148,upper,R1C3,90,4.48,False
4,33.346,0.148,upper,R2C1,48,1.1,True
4,33.346,0.148,upper,R2C2,52,0.87,True
5,32.996,-0.102,lower,R1C2,1050,1.43,True
5,32.996,-0.102,lower,R1C3,1053,2.05,False
5,32.996,-0.102,lower,R2C1,1084,2.77,False
5,32.996,-0.102,lower,R2C2,1088,2.5,False
5,32.996,-0.102,upper,R1C2,74,0.14,True
5,32.996,-0.102,upper,R2C1,36,1.29,True
5,32.996,-0.102,upper,R2C2,40,3.0,False
6,32.546,0.148,lower,R1C2,1063,0.47,True
6,32.546,0.148,lower,R1C3,1066,2.42,False
6,32.546,0.148,lower,R2C1,1095,2.59,False
6,32.546,0.148,lower,R2C2,1099,2.57,False
6,32.546,0.148,upper,R1C2,62,0.99,True
6,32.546,0.148,upper,R1C3,53,3.82,False
6,32.546,0.148,upper,R2C1,26,0.6,True
6,32.546,0.148,upper,R2C2,30,2.53,False
7,33.746,-0.152,lower,R1C2,1028,0.46,True
7,33.746,-0.152,lower,R1C3,1031,2.63,False
7,33.746,-0.152,lower,R2C1,1060,2.78,False
7,33.746,-0.152,lower,R2C2,1064,2.4,False
7,33.746,-0.152,upper,R1C2,96,1.11,True
7,33.746,-0.152,upper,R1C3,89,3.9,False
7,33.746,-0.152,upper,R2C1,60,0.39,True
7,33.746,-0.152,upper,R2C2,64,2.32,False
8,34.546,-0.202,lower,R1C2,1010,0.83,True
8,34.546,-0.202,lower,R1C3,1013,3.16,False
8,34.546,-0.202,lower,R2C1,1036,3.33,False
8,34.546,-0.202,lower,R2C2,1040,1.94,False
8,34.546,-0.202,upper,R1C2,114,1.47,True
8,34.546,-0.202,upper,R1C3,109,4.22,False
8,34.546,-0.202,upper,R2C1,84,0.18,True
8,34.546,-0.202,upper,R2C2,88,1.77,False
9,31.746,-0.102,lower,R1C2,1086,1.58,False
9,31.746,-0.102,lower,R1C3,1089,4.0,False
9,31.746,-0.102,lower,R2C2,1116,1.49,True
9,31.746,-0.102,upper,R1C2,37,2.23,False
9,31.746,-0.102,upper,R2C2,11,0.92,True
10,32.946,-0.402,lower,R1C2,1049,1.77,False
10,32.946,-0.402,lower,R1C3,1052,4.21,False
10,32.946,-0.402,lower,R2C2,1087,1.44,True
10,32.946,-0.402,upper,R1C2,73,2.43,False
10,32.946,-0.402,upper,R2C2,39,0.71,True
11,32.546,-0.202,lower,R1C2,1062,1.02,True
11,32.546,-0.202,lower,R1C3,1065,3.43,False
11,32.546,-0.202,lower,R2C2,1098,1.81,False
11,32.546,-0.202,upper,R1C2,61,1.73,False
11,32.546,-0.202,upper,R1C3,52,4.32,False
11,32.546,-0.202,upper,R2C2,29,1.5,True
