position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,34.146,-0.002,4,4
2,34.546,0.148,4,4
3,32.946,0.248,4,4
4,33.346,0.148,4,4
5,32.996,-0.102,3,4
6,32.546,0.148,4,4
7,33.746,-0.152,4,4
8,34.546,-0.202,4,4
9,31.746,-0.102,2,3
10,32.946,-0.402,2,3
11,32.546,-0.202,3,3
12,34.546,0.098,4,4
13,31.846,0.148,1,3
14,34.846,-0.152,2,1
15,34.796,0.248,2,2
16,34.796,-0.152,2,2
17,33.196,0.398,3,4
18,33.596,0.148,3,4
19,32.396,0.448,3,4
20,33.746,0.448,4,4
21,31.396,0.248,2,2
22,32.146,0.248,4,4
23,34.046,-0.452,4,3
24,30.946,0.248,2,2
25,32.096,-0.102,3,2
26,31.046,0.248,2,2
