position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.546,0.098,lower,R1C2,1063,1.3,True
1,32.546,0.098,lower,R1C3,1066,1.4,True
1,32.546,0.098,lower,R2C1,1095,1.51,True
1,32.546,0.098,lower,R2C2,1099,3.61,False
1,32.546,0.098,lower,R2C3,1102,1.42,True
1,32.546,0.098,upper,R1C2,62,1.87,True
1,32.546,0.098,upper,R2C1,26,0.69,True
1,32.546,0.098,upper,R2C2,30,1.28,True
2,32.946,0.248,lower,R1C2,1051,1.53,True
2,32.946,0.248,lower,R1C3,1054,1.18,True
2,32.946,0.248,lower,R2C1,1085,1.33,True
2,32.946,0.248,lower,R2C2,1089,3.81,False
2,32.946,0.248,lower,R2C3,1092,1.21,True
2,32.946,0.248,upper,R1C2,75,1.67,True
2,32.946,0.248,upper,R1C3,66,3.82,False
2,32.946,0.248,upper,R2C1,37,0.36,True
2,32.946,0.248,upper,R2C2,41,1.88,True
3,33.346,0.398,lower,R1C2,1040,1.77,True
3,33.346,0.398,lower,R1C3,1043,0.97,True
3,33.346,0.398,lower,R2C1,1074,1.17,True
3,33.346,0.398,lower,R2C2,1078,4.02,False
3,33.346,0.398,lower,R2C3,1081,1.02,True
3,33.346,0.398,upper,R1C2,87,1.83,True
3,33.346,0.398,upper,R1C3,79,3.06,False
3,33.346,0.398,upper,R2C1,49,1.02,True
3,33.346,0.398,upper,R2C2,53,2.59,True
4,32.946,-0.102,lower,R1C2,1050,0.6,True
4,32.946,-0.102,lower,R1C3,1053,2.11,True
4,32.946,-0.102,lower,R2C1,1084,2.24,True
4,32.946,-0.102,lower,R2C2,1088,2.9,False
4,32.946,-0.102,lower,R2C3,1091,2.11,True
4,32.946,-0.102,upper,R1C2,74,0.82,True
4,32.946,-0.102,upper,R1C3,65,4.34,False
4,32.946,-0.102,upper,R2C1,36,0.58,True
4,32.946,-0.102,upper,R2C2,40,2.34,True
4,32.946,-0.102,upper,R2C3,33,4.06,False
5,33.296,-0.002,lower,R1C2,1039,1.98,True
5,33.296,-0.002,lower,R1C3,1042,1.82,True
5,33.296,-0.002,lower,R2C1,1073,0.74,True
5,33.296,-0.002,lower,R2C3,1080,1.91,True
5,33.296,-0.002,upper,R1C2,86,2.21,True
5,33.296,-0.002,upper,R1C3,78,2.55,True
5,33.296,-0.002,upper,R2C1,48,2.42,True
5,33.296,-0.002,upper,R2C2,52,4.24,False
6,33.696,0.198,lower,R1C2,1029,1.1,True
6,33.696,0.198,lower,R1C3,1032,2.18,True
6,33.696,0.198,lower,R2C1,1061,1.6,True
6,33.696,0.198,lower,R2C2,1065,3.84,False
6,33.696,0.198,lower,R2C3,1068,2.24,True
6,33.696,0.198,upper,R1C2,97,2.45,True
6,33.696,0.198,upper,R1C3,90,2.09,True
6,33.696,0.198,upper,R2C1,61,2.12,True
6,33.696,0.198,upper,R2C2,65,3.7,False
6,33.696,0.198,upper,R2C3,56,3.63,False
7,34.146,-0.002,lower,R1C2,1019,0.5,True
7,34.146,-0.002,lower,R1C3,1022,2.39,True
7,34.146,-0.002,lower,R2C1,1048,2.57,True
7,34.146,-0.002,lower,R2C2,1052,2.58,True
7,34.146,-0.002,lower,R2C3,1055,2.38,True
7,34.146,-0.002,upper,R1C2,106,1.93,True
7,34.146,-0.002,upper,R1C3,100,3.31,False
7,34.146,-0.002,upper,R2C1,73,2.6,True
7,34.146,-0.002,upper,R2C2,76,4.49,False
8,34.496,-0.002,lower,R1C2,1011,3.89,False
8,34.496,-0.002,lower,R1C3,1014,2.27,True
8,34.496,-0.002,lower,R2C1,1037,1.31,True
8,34.496,-0.002,lower,R2C2,1040,3.71,False
8,34.496,-0.002,lower,R2C3,1044,2.39,True
8,34.496,-0.002,upper,R1C2,114,3.47,False
8,34.496,-0.002,upper,R2C1,84,2.11,True
8,34.496,-0.002,upper,R2C2,88,0.94,True
8,34.496,-0.002,upper,R2C3,80,1.94,True
9,33.696,-0.052,lower,R1C2,1028,2.36,True
9,33.696,-0.052,lower,R2C1,1061,4.14,False
9,33.696,-0.052,lower,R2C2,1064,2.25,True
9,33.696,-0.052,upper,R1C2,96,2.47,True
9,33.696,-0.052,upper,R1C3,89,3.98,False
9,33.696,-0.052,upper,R2C1,60,1.1,True
9,33.696,-0.052,upper,R2C2,64,1.32,True
9,33.696,-0.052,upper,R2C3,55,2.44,True
10,32.146,0.248,lower,R1C2,1076,3.18,False
10,32.146,0.248,lower,R1C3,1079,1.1,True
10,32.146,0.248,lower,R2C1,1105,0.88,True
10,32.146,0.248,lower,R2C2,1108,3.91,False
10,32.146,0.248,upper,R1C2,50,1.73,True
10,32.146,0.248,upper,R1C3,42,4.17,False
10,32.146,0.248,upper,R2C1,17,0.37,True
10,32.146,0.248,upper,R2C2,21,1.58,True
11,32.546,0.398,lower,R1C2,1064,3.42,False
11,32.546,0.398,lower,R1C3,1067,1.25,True
11,32.546,0.398,lower,R2C1,1096,1.08,True
11,32.546,0.398,lower,R2C2,1099,3.67,False
11,32.546,0.398,upper,R1C2,63,1.72,True
11,32.546,0.398,upper,R1C3,54,3.41,False
11,32.546,0.398,upper,R2C1,27,0.68,True
11,32.546,0.398,upper,R2C2,31,2.25,True
12,34.596,0.248,lower,R1C2,1011,2.56,True
12,34.596,0.248,lower,R1C3,1014,4.43,False
12,34.596,0.248,lower,R2C2,1041,0.22,True
12,34.596,0.248,lower,R2C3,1044,4.37,False
12,34.596,0.248,upper,R1C2,115,0.88,True
12,34.596,0.248,upper,R1C3,110,3.95,False
12,34.596,0.248,upper,R2C1,85,0.61,True
12,34.596,0.248,upper,R2C2,89,2.53,True
12,34.596,0.248,upper,R2C3,81,3.95,False
13,34.896,-0.152,lower,R2C1,1026,0.71,True
13,34.896,-0.152,lower,R2C3,1033,1.88,True
13,34.896,-0.152,upper,R2C2,98,0.7,True
13,34.896,-0.152,upper,R2C3,91,2.24,True
14,32.196,-0.052,lower,R1C2,1075,1.63,True
14,32.196,-0.052,lower,R1C3,1078,1.5,True
14,32.196,-0.052,lower,R2C2,1108,3.05,False
14,32.196,-0.052,lower,R2C3,1111,1.44,True
14,32.196,-0.052,upper,R1C2,49,2.35,True
14,32.196,-0.052,upper,R1C3,53,3.03,False
14,32.196,-0.052,upper,R2C2,20,1.85,True
