position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.546,0.098,3,5
2,32.946,0.248,4,5
3,33.346,0.398,4,5
4,32.946,-0.102,5,5
5,33.296,-0.002,4,4
6,33.696,0.198,5,5
7,34.146,-0.002,4,5
8,34.496,-0.002,4,5
9,33.696,-0.052,5,3
10,32.146,0.248,4,4
11,32.546,0.398,4,4
12,34.596,0.248,5,4
13,34.896,-0.152,2,2
14,32.196,-0.052,3,4
15,34.946,0.198,3,2
16,31.746,-0.202,3,4
17,32.546,-0.252,4,4
18,33.246,-0.252,5,3
19,34.146,0.198,4,5
20,34.096,-0.202,5,5
21,35.296,-0.002,2,1
22,31.696,0.148,2,2
23,33.796,-0.352,4,4
24,33.296,0.148,4,5
25,34.046,0.398,5,5
26,34.496,-0.152,4,5
27,32.696,-0.102,4,3
28,30.996,-0.152,1,2
29,30.996,0.248,1,2
30,31.296,0.148,2,1
31,34.496,0.248,5,3
32,34.046,-0.452,3,4
33,32.846,-0.402,4,2
34,32.646,0.148,4,5
35,31.846,-0.002,2,2
36,34.896,0.048,4,2
37,33.446,-0.302,5,5
38,33.196,-0.452,3,5
39,33.996,0.098,5,4
40,35.396,0.248,2,2
41,31.396,-0.052,2,2
42,31.246,0.148,2,1
43,30.946,-0.002,2,1
44,33.296,0.398,4,5
45,32.996,-0.102,5,5
46,32.146,-0.002,3,4
47,33.696,0.248,5,5
48,32.246,-0.202,3,3
49,31.746,0.248,4,3
50,33.796,0.448,4,5
51,34.846,-0.202,3,2
52,30.946,0.248,2,2
53,34.646,0.248,5,2
54,35.446,-0.202,2,1
