position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,33.046,-0.102,lower,R1C2,1050,2.38,True
1,33.046,-0.102,lower,R1C3,1053,2.43,True
1,33.046,-0.102,lower,R2C2,1088,2.46,True
1,33.046,-0.102,lower,R2C3,1091,2.34,True
1,33.046,-0.102,upper,R1C2,74,1.39,True
1,33.046,-0.102,upper,R1C3,78,3.6,False
1,33.046,-0.102,upper,R2C2,40,4.04,False
1,33.046,-0.102,upper,R2C3,43,1.95,True
2,33.046,0.298,lower,R1C2,1051,2.47,True
2,33.046,0.298,lower,R1C3,1054,2.58,True
2,33.046,0.298,lower,R2C2,1089,2.37,True
2,33.046,0.298,lower,R2C3,1092,2.48,True
2,33.046,0.298,upper,R1C2,75,1.52,True
2,33.046,0.298,upper,R1C3,79,3.46,False
2,33.046,0.298,upper,R2C2,41,3.97,False
2,33.046,0.298,upper,R2C3,44,1.93,True
3,34.646,0.148,lower,R1C2,1011,2.5,True
3,34.646,0.148,lower,R1C3,1014,2.57,True
3,34.646,0.148,lower,R2C2,1041,2.41,True
3,34.646,0.148,lower,R2C3,1044,2.47,True
3,34.646,0.148,upper,R1C2,115,1.53,True
3,34.646,0.148,upper,R1C3,119,3.46,False
3,34.646,0.148,upper,R2C2,89,4.01,False
3,34.646,0.148,upper,R2C3,92,1.89,True
4,33.396,0.398,lower,R1C2,1040,2.2,True
4,33.396,0.398,lower,R1C3,1043,0.84,True
4,33.396,0.398,lower,R2C2,1078,3.74,False
4,33.396,0.398,lower,R2C3,1081,0.76,True
4,33.396,0.398,upper,R1C2,87,0.94,True
4,33.396,0.398,upper,R2C2,52,4.01,False
4,33.396,0.398,upper,R2C3,56,2.56,True
5,33.796,0.198,lower,R1C2,1029,1.69,True
5,33.796,0.198,lower,R1C3,1032,1.6,True
5,33.796,0.198,lower,R2C2,1065,2.96,False
5,33.796,0.198,lower,R2C3,1068,1.54,True
5,33.796,0.198,upper,R1C2,97,0.41,True
5,33.796,0.198,upper,R2C2,65,4.34,False
5,33.796,0.198,upper,R2C3,68,2.59,True
6,32.246,-0.052,lower,R1C2,1075,2.47,True
6,32.246,-0.052,lower,R1C3,1078,1.95,True
6,32.246,-0.052,lower,R2C2,1108,2.99,False
6,32.246,-0.052,lower,R2C3,1111,1.84,True
6,32.246,-0.052,upper,R1C2,49,1.26,True
6,32.246,-0.052,upper,R1C3,53,4.06,False
6,32.246,-0.052,upper,R2C3,23,1.76,True
7,33.846,-0.202,lower,R1C2,1028,2.51,True
7,33.846,-0.202,lower,R1C3,1031,1.94,True
7,33.846,-0.202,lower,R2C2,1064,3.03,False
7,33.846,-0.202,lower,R2C3,1067,1.84,True
7,33.846,-0.202,upper,R1C2,96,1.29,True
7,33.846,-0.202,upper,R1C3,100,4.06,False
7,33.846,-0.202,upper,R2C3,67,1.72,True
8,32.646,-0.302,lower,R1C2,1062,2.57,True
8,32.646,-0.302,lower,R1C3,1065,1.64,True
8,32.646,-0.302,lower,R2C2,1098,3.33,False
8,32.646,-0.302,lower,R2C3,1101,1.54,True
8,32.646,-0.302,upper,R1C2,61,1.28,True
8,32.646,-0.302,upper,R1C3,65,4.37,False
8,32.646,-0.302,upper,R2C3,32,1.75,True
9,34.196,-0.002,lower,R1C2,1019,1.46,True
9,34.196,-0.002,lower,R1C3,1022,2.38,True
9,34.196,-0.002,lower,R2C2,1052,2.17,True
9,34.196,-0.002,lower,R2C3,1055,2.32,True
9,34.196,-0.002,upper,R1C2,106,0.83,True
9,34.196,-0.002,upper,R1C3,110,4.1,False
9,34.196,-0.002,upper,R2C2,77,3.56,False
9,34.196,-0.002,upper,R2C3,80,2.85,False
10,32.596,0.148,lower,R1C2,1063,1.44,True
10,32.596,0.148,lower,R1C3,1066,2.41,True
10,32.596,0.148,lower,R2C2,1099,2.15,True
10,32.596,0.148,lower,R2C3,1102,2.35,True
10,32.596,0.148,upper,R1C2,62,0.85,True
10,32.596,0.148,upper,R1C3,66,4.11,False
10,32.596,0.148,upper,R2C2,30,3.52,False
10,32.596,0.148,upper,R2C3,33,2.89,False
11,33.446,0.048,lower,R1C2,1039,2.46,True
11,33.446,0.048,lower,R1C3,1042,2.25,True
