position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,33.046,-0.102,4,4
2,33.046,0.298,4,4
3,34.646,0.148,4,4
4,33.396,0.398,3,4
5,33.796,0.198,3,4
6,32.246,-0.052,3,4
7,33.846,-0.202,3,4
8,32.646,-0.302,3,4
9,34.196,-0.002,4,4
10,32.596,0.148,4,4
11,33.446,0.048,4,4
12,31.296,-0.002,2,2
13,33.296,-0.402,3,3
14,31.696,0.148,3,2
15,31.846,-0.202,4,4
16,30.996,0.248,1,2
17,30.946,-0.152,2,2
18,34.046,0.348,2,3
19,32.246,0.148,2,3
20,33.846,0.448,4,3
21,33.846,-0.102,4,4
22,34.246,0.248,4,4
23,32.996,-0.402,4,4
24,33.446,-0.252,4,4
25,31.846,-0.102,4,4
26,33.446,0.148,4,4
27,35.396,0.198,1,1
28,34.996,0.048,1,1
29,33.046,-0.002,4,2
30,34.596,-0.202,4,4
31,32.496,-0.152,3,2
32,35.246,-0.152,2,1
33,33.696,-0.452,3,2
34,32.646,0.298,2,3
35,34.646,-0.152,4,3
36,31.896,0.248,3,3
37,34.346,-0.002,4,4
38,32.446,-0.452,3,4
39,34.046,-0.302,4,2
40,31.446,-0.202,2,2
