position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.946,0.248,lower,R1C2,1051,1.1,True
1,32.946,0.248,lower,R1C3,1054,2.15,True
1,32.946,0.248,lower,R2C1,1085,2.2,True
1,32.946,0.248,lower,R2C2,1089,2.44,True
1,32.946,0.248,upper,R1C2,75,2.54,True
1,32.946,0.248,upper,R1C3,66,4.49,False
1,32.946,0.248,upper,R2C1,37,1.54,True
1,32.946,0.248,upper,R2C2,41,1.66,True
2,32.596,0.448,lower,R1C2,1064,2.19,True
2,32.596,0.448,lower,R1C3,1067,1.76,True
2,32.596,0.448,lower,R2C1,1096,2.42,True
2,32.596,0.448,lower,R2C2,1100,2.37,True
2,32.596,0.448,upper,R1C2,63,2.41,True
2,32.596,0.448,upper,R1C3,67,4.05,False
2,32.596,0.448,upper,R2C1,27,2.16,True
2,32.596,0.448,upper,R2C2,31,2.04,True
3,33.396,0.398,lower,R1C2,1040,1.37,True
3,33.396,0.398,lower,R1C3,1043,2.15,True
3,33.396,0.398,lower,R2C1,1074,2.45,True
3,33.396,0.398,lower,R2C2,1078,2.08,True
3,33.396,0.398,upper,R1C2,87,1.54,True
3,33.396,0.398,upper,R2C1,49,1.58,True
3,33.396,0.398,upper,R2C2,53,2.66,False
4,32.896,-0.152,lower,R1C2,1050,1.78,True
4,32.896,-0.152,lower,R1C3,1053,1.88,True
4,32.896,-0.152,lower,R2C1,1084,1.38,True
4,32.896,-0.152,lower,R2C2,1088,3.54,False
4,32.896,-0.152,upper,R1C2,74,2.22,True
4,32.896,-0.152,upper,R1C3,65,3.96,False
4,32.896,-0.152,upper,R2C1,36,0.96,True
4,32.896,-0.152,upper,R2C2,40,2.08,True
5,32.546,0.048,lower,R1C2,1063,2.35,True
5,32.546,0.048,lower,R1C3,1066,0.89,True
5,32.546,0.048,lower,R2C1,1095,1.3,True
5,32.546,0.048,lower,R2C2,1099,3.32,False
5,32.546,0.048,upper,R1C2,62,1.93,True
5,32.546,0.048,upper,R1C3,66,4.42,False
5,32.546,0.048,upper,R2C1,26,1.63,True
5,32.546,0.048,upper,R2C2,30,2.27,True
6,33.296,-0.352,lower,R1C2,1038,1.36,True
6,33.296,-0.352,lower,R1C3,1041,2.42,True
6,33.296,-0.352,lower,R2C1,1072,1.94,True
6,33.296,-0.352,lower,R2C2,1076,3.36,False
6,33.296,-0.352,upper,R1C2,85,1.76,True
6,33.296,-0.352,upper,R1C3,77,4.11,False
6,33.296,-0.352,upper,R2C1,47,1.18,True
6,33.296,-0.352,upper,R2C2,51,2.52,True
7,34.196,-0.052,lower,R1C2,1019,1.22,True
7,34.196,-0.052,lower,R1C3,1022,2.03,True
7,34.196,-0.052,lower,R2C1,1048,2.09,True
7,34.196,-0.052,lower,R2C2,1052,2.51,True
7,34.196,-0.052,upper,R1C2,106,0.82,True
7,34.196,-0.052,upper,R2C1,73,2.71,False
8,33.746,0.198,lower,R1C2,1029,0.5,True
8,33.746,0.198,lower,R1C3,1032,2.85,False
8,33.746,0.198,lower,R2C1,1061,2.64,False
8,33.746,0.198,lower,R2C2,1065,2.57,True
8,33.746,0.198,upper,R1C2,97,1.9,True
8,33.746,0.198,upper,R1C3,90,3.84,False
8,33.746,0.198,upper,R2C1,61,0.92,True
8,33.746,0.198,upper,R2C2,65,2.51,True
9,33.346,-0.002,lower,R1C2,1039,1.7,True
9,33.346,-0.002,lower,R1C3,1042,1.6,True
9,33.346,-0.002,lower,R2C1,1073,1.46,True
9,33.346,-0.002,lower,R2C2,1077,3.16,False
9,33.346,-0.002,upper,R1C2,86,1.33,True
9,33.346,-0.002,upper,R1C3,78,4.09,False
9,33.346,-0.002,upper,R2C1,48,1.41,True
9,33.346,-0.002,upper,R2C2,52,3.09,False
10,32.146,0.248,lower,R1C2,1076,2.92,False
10,32.146,0.248,lower,R1C3,1079,0.36,True
10,32.146,0.248,lower,R2C1,1105,1.23,True
10,32.146,0.248,lower,R2C2,1109,3.73,False
10,32.146,0.248,upper,R1C2,50,2.39,True
10,32.146,0.248,upper,R1C3,42,4.5,False
10,32.146,0.248,upper,R2C1,17,1.52,True
10,32.146,0.248,upper,R2C2,21,1.81,True
11,33.746,-0.202,lower,R1C2,1028,1.17,True
11,33.746,-0.202,lower,R1C3,1031,2.16,True
11,33.746,-0.202,lower,R2C1,1060,1.94,True
11,33.746,-0.202,lower,R2C2,1064,2.91,False
11,33.746,-0.202,upper,R1C2,96,0.93,True
11,33.746,-0.202,upper,R1C3,89,4.34,False
11,33.746,-0.202,upper,R2C1,60,1.83,True
11,33.746,-0.202,upper,R2C2,64,3.53,False
12,34.596,0.098,lower,R1C2,1011,1.11,True
12,34.596,0.098,lower,R1C3,1014,2.16,True
12,34.596,0.098,lower,R2C1,1037,2.02,True
12,34.596,0.098,lower,R2C2,1041,2.77,False
12,34.596,0.098,upper,R1C2,115,1.72,True
12,34.596,0.098,upper,R1C3,110,4.41,False
12,34.596,0.098,upper,R2C1,85,2.94,False
13,34.496,-0.152,lower,R1C2,1010,2.29,True
13,34.496,-0.152,lower,R2C2,1040,3.64,False
13,34.496,-0.152,upper,R1C2,114,2.51,True
13,34.496,-0.152,upper,R1C3,109,3.93,False
13,34.496,-0.152,upper,R2C1,84,0.97,True
13,34.496,-0.152,upper,R2C2,88,1.78,True
14,31.746,0.148,lower,R1C2,1087,2.13,True
14,31.746,0.148,lower,R1C3,1090,1.65,True
14,31.746,0.148,lower,R2C2,1117,2.45,True
14,31.746,0.148,upper,R1C2,38,4.0,False
14,31.746,0.148,upper,R1C3,42,4.13,False
14,31.746,0.148,upper,R2C2,12,1.87,True
15,35.346,0.248,lower,R2C1,1018,2.35,True
15,35.346,0.248,upper,R2C1,105,1.68,True
15,35.346,0.248,upper,R2C2,109,1.21,True
16,32.496,-0.202,lower,R1C2,1062,0.69,True
16,32.496,-0.202,lower,R1C3,1065,3.85,False
16,32.496,-0.202,lower,R2C2,1098,1.9,True
16,32.496,-0.202,upper,R2C2,29,2.0,True
17,32.096,-0.052,lower,R1C2,1075,1.1,True
17,32.096,-0.052,lower,R1C3,1078,2.13,True
17,32.096,-0.052,lower,R2C2,1108,2.58,True
17,32.096,-0.052,upper,R1C2,49,4.0,False
17,32.096,-0.052,upper,R2C2,20,1.2,True
18,34.846,-0.002,lower,R1C3,1014,3.72,False
18,34.846,-0.002,upper,R1C3,118,2.39,True
18,34.846,-0.002,upper,R2C1,95,0.76,True
18,34.846,-0.002,upper,R2C2,99,2.37,True
19,31.696,-0.202,lower,R1C2,1086,1.28,True
19,31.696,-0.202,lower,R1C3,1089,2.04,True
19,31.696,-0.202,lower,R2C2,1116,2.34,True
19,31.696,-0.202,upper,R1C3,41,4.45,False
19,31.696,-0.202,upper,R2C2,11,1.99,True
20,33.696,0.148,lower,R1C2,1029,2.08,True
