position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.946,0.248,4,4
2,32.596,0.448,4,4
3,33.396,0.398,3,4
4,32.896,-0.152,4,4
5,32.546,0.048,4,4
6,32.496,-0.302,4,4
7,33.296,-0.352,4,4
8,34.196,-0.052,2,4
9,31.346,0.248,3,3
10,33.346,-0.002,4,4
11,32.146,0.248,4,4
12,33.746,-0.202,4,4
13,31.696,0.048,4,4
14,32.096,-0.102,3,4
15,33.746,0.148,4,4
16,34.596,0.098,3,4
17,34.896,-0.002,4,2
18,34.496,-0.152,4,2
19,35.046,0.248,3,4
20,35.146,-0.152,4,4
21,31.696,-0.202,2,3
22,35.346,0.248,3,1
23,32.896,-0.452,4,4
24,31.246,0.098,4,3
25,34.046,-0.002,4,4
26,34.046,0.398,4,4
27,33.346,0.048,4,4
28,33.496,-0.252,3,2
29,30.996,0.098,2,1
30,33.846,0.448,2,4
31,35.096,-0.202,3,4
32,34.046,-0.352,4,3
33,34.246,0.248,3,4
34,32.596,-0.252,4,4
35,33.246,0.398,4,4
36,31.646,0.248,3,4
37,32.646,0.148,3,3
38,35.346,-0.102,2,1
39,32.496,0.348,4,3
40,32.096,-0.052,3,4
41,32.046,0.198,4,3
42,33.746,-0.152,4,4
43,32.946,-0.102,4,4
44,34.296,0.048,3,2
45,31.246,-0.002,2,3
46,33.696,0.148,4,4
47,32.846,-0.452,3,4
48,34.746,0.198,3,2
49,33.646,-0.452,3,2
50,35.246,0.198,3,2
51,31.346,-0.202,2,3
52,34.846,-0.002,4,2
53,33.496,0.448,4,3
54,35.446,0.098,1,2
55,30.946,0.248,2,2
56,34.046,-0.452,4,4
57,32.946,0.448,4,4
58,30.946,-0.152,2,2
59,30.946,-0.102,2,2
60,32.896,0.448,4,4
61,34.596,-0.202,4,4
62,34.596,0.248,4,4
63,34.946,-0.202,4,3
64,35.446,-0.202,2,2
