position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.85,2.4,lower,R1C3,1066,2.42,True
1,32.85,2.4,lower,R2C1,1095,0.69,True
1,32.85,2.4,lower,R2C2,1099,2.26,True
1,32.85,2.4,lower,R2C3,1102,3.26,False
1,32.85,2.4,upper,R1C2,62,1.97,True
1,32.85,2.4,upper,R1C3,65,3.69,False
1,32.85,2.4,upper,R2C2,29,2.06,True
1,32.85,2.4,upper,R2C3,33,1.76,True
2,32.45,1.75,lower,R1C2,1075,3.6,False
2,32.45,1.75,lower,R1C3,1078,0.94,True
2,32.45,1.75,lower,R2C1,1104,1.88,True
2,32.45,1.75,lower,R2C2,1108,2.07,True
2,32.45,1.75,upper,R1C2,49,1.47,True
2,32.45,1.75,upper,R1C3,52,3.42,False
2,32.45,1.75,upper,R2C2,19,2.32,True
2,32.45,1.75,upper,R2C3,23,2.57,True
3,32.2,2.25,lower,R1C3,1090,2.39,True
3,32.2,2.25,lower,R2C1,1113,0.64,True
3,32.2,2.25,lower,R2C2,1117,2.3,True
3,32.2,2.25,lower,R2C3,1120,3.23,False
3,32.2,2.25,upper,R1C2,38,2.2,True
3,32.2,2.25,upper,R1C3,41,4.11,False
3,32.2,2.25,upper,R2C2,11,2.29,True
3,32.2,2.25,upper,R2C3,15,1.36,True
4,33.8,1.95,lower,R1C3,1031,2.04,True
4,33.8,1.95,lower,R2C1,1060,0.5,True
4,33.8,1.95,lower,R2C2,1064,2.41,True
4,33.8,1.95,lower,R2C3,1067,3.3,False
4,33.8,1.95,upper,R1C2,96,2.89,False
4,33.8,1.95,upper,R1C3,99,2.3,True
4,33.8,1.95,upper,R2C1,47,4.48,False
4,33.8,1.95,upper,R2C2,63,0.96,True
4,33.8,1.95,upper,R2C3,67,2.42,True
5,34.75,1.7,lower,R1C2,1002,3.36,False
5,34.75,1.7,lower,R1C3,1005,1.93,True
5,34.75,1.7,lower,R2C1,1025,1.79,True
5,34.75,1.7,lower,R2C2,1029,1.23,True
5,34.75,1.7,upper,R1C2,121,2.44,True
5,34.75,1.7,upper,R1C3,124,2.3,True
5,34.75,1.7,upper,R2C1,83,3.72,False
5,34.75,1.7,upper,R2C2,97,1.69,True
5,34.75,1.7,upper,R2C3,101,2.97,False
6,34.15,2.65,lower,R1C3,1022,2.49,True
6,34.15,2.65,lower,R2C1,1048,0.48,True
6,34.15,2.65,lower,R2C2,1052,2.53,True
6,34.15,2.65,lower,R2C3,1055,3.0,False
6,34.15,2.65,upper,R1C2,106,2.3,True
6,34.15,2.65,upper,R1C3,109,2.56,True
6,34.15,2.65,upper,R2C1,60,3.9,False
6,34.15,2.65,upper,R2C2,76,1.61,True
6,34.15,2.65,upper,R2C3,80,2.67,False
7,33.15,1.85,lower,R1C2,1050,4.36,False
7,33.15,1.85,lower,R1C3,1053,2.0,True
7,33.15,1.85,lower,R2C1,1084,0.8,True
7,33.15,1.85,lower,R2C2,1088,2.1,True
7,33.15,1.85,lower,R2C3,1091,3.57,False
7,33.15,1.85,upper,R1C2,74,2.5,True
7,33.15,1.85,upper,R1C3,77,3.05,False
7,33.15,1.85,upper,R2C2,39,1.36,True
7,33.15,1.85,upper,R2C3,43,1.82,True
8,33.5,2.5,lower,R1C3,1042,2.47,True
8,33.5,2.5,lower,R2C1,1073,0.42,True
8,33.5,2.5,lower,R2C2,1077,2.57,True
8,33.5,2.5,lower,R2C3,1080,2.97,False
8,33.5,2.5,upper,R1C2,86,2.25,True
8,33.5,2.5,upper,R1C3,89,2.94,False
8,33.5,2.5,upper,R2C1,36,4.28,False
8,33.5,2.5,upper,R2C2,51,1.55,True
8,33.5,2.5,upper,R2C3,55,2.17,True
9,34.8,2.8,lower,R1C3,1006,2.52,True
9,34.8,2.8,lower,R2C1,1026,0.53,True
9,34.8,2.8,lower,R2C2,1030,2.49,True
9,34.8,2.8,lower,R2C3,1033,3.03,False
9,34.8,2.8,upper,R1C2,122,2.46,True
9,34.8,2.8,upper,R1C3,125,2.23,True
9,34.8,2.8,upper,R2C1,84,3.55,False
9,34.8,2.8,upper,R2C2,98,1.83,True
9,34.8,2.8,upper,R2C3,102,3.17,False
10,34.45,2.15,lower,R1C2,1010,4.3,False
10,34.45,2.15,lower,R1C3,1013,2.06,True
10,34.45,2.15,lower,R2C1,1036,0.88,True
10,34.45,2.15,lower,R2C2,1040,2.01,True
10,34.45,2.15,lower,R2C3,1043,3.62,False
10,34.45,2.15,upper,R1C2,114,2.57,True
