position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,33.1,2.0,5,5
2,33.75,2.05,5,5
3,32.75,2.55,5,5
4,33.4,2.6,5,5
5,34.4,2.05,5,5
6,34.05,2.65,5,5
7,34.7,2.65,5,5
8,33.1,3.0,5,5
9,32.45,1.95,4,5
10,33.8,3.3,4,5
11,34.45,3.3,4,5
12,32.45,2.95,5,4
13,32.1,2.5,4,4
14,34.7,1.7,5,5
15,34.1,1.7,5,5
16,32.2,3.6,4,4
17,32.8,1.7,4,5
18,32.85,3.65,5,4
19,33.45,1.7,5,5
20,33.5,3.7,5,5
21,35.0,2.2,3,3
22,34.05,3.65,5,5
23,34.7,3.7,5,5
24,35.0,3.7,1,3
25,34.95,3.05,1,0
26,33.35,3.3,1,0
27,32.7,3.25,1,0
28,34.35,3.7,1,5
29,32.15,1.7,3,4
30,34.25,3.15,1,0
31,33.75,3.05,5,5
32,33.7,3.65,1,5
33,33.05,3.65,1,5
34,34.95,3.7,5,3
35,32.0,3.15,3,4
36,32.0,1.8,4,0
37,32.5,3.7,4,4
38,35.0,3.55,3,3
