position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.818,-0.104,4,6
2,33.218,0.446,4,5
3,32.518,0.096,5,6
4,32.118,0.246,5,5
5,32.818,0.246,5,6
6,33.218,0.046,4,6
7,32.418,0.446,5,5
8,33.418,-0.354,5,4
9,32.618,-0.354,4,4
10,33.168,-0.204,5,4
11,33.568,-0.104,5,4
12,33.668,0.196,5,5
13,32.218,-0.154,4,4
14,33.968,-0.254,5,4
15,31.618,0.146,3,4
16,34.068,0.396,5,5
17,33.668,-0.454,3,5
18,34.068,-0.004,4,4
19,32.918,-0.454,4,4
20,32.318,0.146,5,4
21,31.818,0.246,5,5
22,32.868,0.446,5,3
23,32.618,-0.454,4,4
24,33.668,0.446,5,4
25,33.268,-0.454,3,4
26,34.068,0.446,4,5
27,31.818,-0.204,4,5
28,33.868,-0.454,4,4
