position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.519,0.45,lower,R1C1,1049,4.03,False
1,32.519,0.45,lower,R1C2,1053,0.3,True
1,32.519,0.45,lower,R2C1,1096,2.57,True
1,32.519,0.45,lower,R2C2,1100,2.22,True
1,32.519,0.45,upper,R1C1,61,1.81,True
1,32.519,0.45,upper,R1C2,65,1.37,True
1,32.519,0.45,upper,R1C3,69,1.87,True
1,32.519,0.45,upper,R2C1,27,3.61,False
1,32.519,0.45,upper,R2C2,21,1.55,True
2,33.319,0.15,lower,R1C2,1030,1.09,True
2,33.319,0.15,lower,R2C1,1073,3.62,False
2,33.319,0.15,lower,R2C2,1077,2.95,False
2,33.319,0.15,lower,R2C3,1081,3.84,False
2,33.319,0.15,upper,R1C1,84,2.47,True
2,33.319,0.15,upper,R1C2,88,1.14,True
2,33.319,0.15,upper,R1C3,92,1.2,True
2,33.319,0.15,upper,R2C1,48,2.55,True
2,33.319,0.15,upper,R2C2,40,1.11,True
2,33.319,0.15,upper,R2C3,56,2.52,True
3,32.519,0.1,lower,R1C1,1048,3.68,False
3,32.519,0.1,lower,R1C2,1052,0.43,True
3,32.519,0.1,lower,R2C1,1095,2.2,True
3,32.519,0.1,lower,R2C2,1099,2.44,True
3,32.519,0.1,lower,R2C3,1102,4.03,False
3,32.519,0.1,upper,R1C1,60,2.12,True
3,32.519,0.1,upper,R1C2,64,1.76,True
3,32.519,0.1,upper,R1C3,68,2.23,True
3,32.519,0.1,upper,R2C1,26,3.63,False
3,32.519,0.1,upper,R2C2,20,1.93,True
4,34.169,-0.2,lower,R1C2,1011,1.68,True
4,34.169,-0.2,lower,R2C1,1047,4.23,False
4,34.169,-0.2,lower,R2C2,1051,2.37,True
4,34.169,-0.2,lower,R2C3,1055,3.79,False
4,34.169,-0.2,upper,R1C2,107,2.39,True
4,34.169,-0.2,upper,R1C3,111,2.44,True
4,34.169,-0.2,upper,R2C1,72,2.0,True
4,34.169,-0.2,upper,R2C2,63,2.38,True
4,34.169,-0.2,upper,R2C3,80,2.26,True
5,32.819,0.25,lower,R1C1,1037,2.51,True
5,32.819,0.25,lower,R1C2,1041,2.0,True
5,32.819,0.25,lower,R1C3,1056,3.68,False
5,32.819,0.25,lower,R2C1,1085,1.13,True
5,32.819,0.25,lower,R2C2,1089,3.98,False
5,32.819,0.25,lower,R2C3,1092,4.45,False
5,32.819,0.25,upper,R1C1,73,0.52,True
5,32.819,0.25,upper,R1C2,77,1.99,True
5,32.819,0.25,upper,R1C3,81,2.58,True
5,32.819,0.25,upper,R2C1,26,4.03,False
5,32.819,0.25,upper,R2C2,30,2.23,True
6,33.369,-0.2,lower,R1C2,1029,1.3,True
6,33.369,-0.2,lower,R1C3,1033,3.64,False
6,33.369,-0.2,lower,R2C1,1072,3.87,False
6,33.369,-0.2,lower,R2C2,1076,2.4,True
6,33.369,-0.2,lower,R2C3,1080,3.93,False
6,33.369,-0.2,upper,R1C2,87,2.43,True
6,33.369,-0.2,upper,R1C3,91,2.5,True
6,33.369,-0.2,upper,R2C1,47,2.07,True
6,33.369,-0.2,upper,R2C2,39,2.43,True
6,33.369,-0.2,upper,R2C3,55,2.34,True
7,33.719,-0.3,lower,R1C2,1019,2.79,False
7,33.719,-0.3,lower,R1C3,1023,2.72,False
7,33.719,-0.3,lower,R2C3,1067,2.28,True
7,33.719,-0.3,upper,R1C2,97,2.37,True
7,33.719,-0.3,upper,R1C3,101,1.91,True
7,33.719,-0.3,upper,R2C1,59,1.43,True
7,33.719,-0.3,upper,R2C2,50,2.17,True
7,33.719,-0.3,upper,R2C3,67,1.06,True
8,32.719,-0.35,lower,R1C3,1054,1.92,True
8,32.719,-0.35,lower,R2C2,1098,2.36,True
8,32.719,-0.35,lower,R2C3,1101,2.5,True
8,32.719,-0.35,upper,R1C2,75,2.31,True
8,32.719,-0.35,upper,R1C3,79,2.32,True
8,32.719,-0.35,upper,R2C2,28,2.3,True
8,32.719,-0.35,upper,R2C3,32,4.02,False
9,33.719,0.25,lower,R1C1,1017,3.89,False
9,33.719,0.25,lower,R1C2,1021,0.96,True
9,33.719,0.25,lower,R2C1,1061,2.53,True
9,33.719,0.25,lower,R2C2,1065,1.67,True
9,33.719,0.25,lower,R2C3,1068,3.52,False
9,33.719,0.25,upper,R1C1,95,1.97,True
9,33.719,0.25,upper,R1C2,99,1.97,True
9,33.719,0.25,upper,R2C1,61,4.09,False
9,33.719,0.25,upper,R2C2,52,2.18,True
9,33.719,0.25,upper,R2C3,69,4.21,False
10,32.319,-0.5,lower,R1C2,1063,4.16,False
10,32.319,-0.5,lower,R1C3,1066,2.21,True
10,32.319,-0.5,lower,R2C2,1107,1.77,True
10,32.319,-0.5,lower,R2C3,1110,2.47,True
10,32.319,-0.5,upper,R1C2,62,2.3,True
10,32.319,-0.5,upper,R1C3,66,2.16,True
10,32.319,-0.5,upper,R2C2,18,2.23,True
10,32.319,-0.5,upper,R2C3,22,4.48,False
11,31.669,0.4,lower,R1C1,1074,2.02,True
11,31.669,0.4,lower,R1C2,1078,2.06,True
11,31.669,0.4,lower,R2C1,1114,0.53,True
11,31.669,0.4,lower,R2C2,1118,3.41,False
11,31.669,0.4,upper,R1C1,37,1.49,True
11,31.669,0.4,upper,R1C2,41,2.44,True
12,33.669,-0.05,lower,R1C2,1020,0.77,True
12,33.669,-0.05,lower,R2C1,1060,2.55,True
12,33.669,-0.05,lower,R2C2,1064,3.28,False
12,33.669,-0.05,upper,R1C2,98,0.69,True
12,33.669,-0.05,upper,R1C3,102,1.27,True
12,33.669,-0.05,upper,R2C1,60,3.64,False
12,33.669,-0.05,upper,R2C2,51,0.91,True
12,33.669,-0.05,upper,R2C3,68,3.59,False
13,33.269,-0.5,lower,R1C2,1028,2.33,True
13,33.269,-0.5,lower,R1C3,1032,4.32,False
13,33.269,-0.5,lower,R2C3,1079,3.76,False
13,33.269,-0.5,upper,R1C2,86,1.25,True
