position,linear,horizontal,dwell_min,risk,udet_targets,ldet_targets,unique_best_for
1,34.146,-0.002,35,safe,73@0.6mm 106@1.0mm,,73 106
2,34.546,0.148,35,safe,115@0.8mm,1011@0.6mm 1014@2.1mm,115 1011
3,32.946,0.248,35,safe,75@1.3mm,1054@1.2mm,75 1054
4,33.346,0.148,35,safe,48@1.1mm 52@0.9mm 90@4.5mm,,48 52
5,32.996,-0.102,35,safe,36@1.3mm,,36
6,32.546,0.148,35,safe,62@1.0mm,,62
7,33.746,-0.152,35,safe,60@0.4mm,,60
8,34.546,-0.202,35,safe,114@1.5mm,1036@3.3mm,114 1036
9,31.746,-0.102,35,safe,11@0.9mm,,11
10,32.946,-0.402,35,safe,39@0.7mm 73@2.4mm,,39
11,32.546,-0.202,35,safe,29@1.5mm 52@4.3mm,,29
12,34.546,0.098,10,LDET-only or redundant,115@1.3mm,1011@1.6mm 1014@1.1mm,1014
13,31.846,0.148,35,safe,38@1.5mm,,38
14,34.846,-0.152,10,LDET-only or redundant,118@1.5mm,1026@1.4mm,1026
15,34.796,0.248,35,safe,119@0.7mm,,119
16,34.796,-0.152,35,safe,118@0.6mm,1026@2.3mm,118
17,33.196,0.398,35,safe,79@0.6mm,,79
18,33.596,0.148,35,safe,90@0.8mm,,90
19,32.396,0.448,35,safe,54@1.0mm,,54
20,33.746,0.448,50,off-center — 50 min margin,91@4.3mm,1033@1.9mm,91 1033
21,31.396,0.248,50,off-center — 50 min margin,28@4.3mm,1101@2.4mm,28 1101
22,32.146,0.248,50,off-center — 50 min margin,42@3.7mm,,42
23,34.046,-0.452,50,off-center — 50 min margin,72@2.9mm,,72
24,30.946,0.248,50,off-center — 50 min margin,13@3.4mm,,13
25,32.096,-0.102,50,off-center — 50 min margin,19@4.4mm,,19
26,31.046,0.248,50,off-center — 50 min margin,22@4.4mm,,22
