run,segment,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,peak_excess,peak_counts,n_support,n_pixels,pixels,flag
8622,0,upper,R1C2,Cd-109-9178,5.32,3.42,106,0.08,123.2,543786,7,4,106;107;114;115,
8622,0,upper,R1C3,Bi-207-8890,5.32,-1.77,109,0.08,10.8,73888,6,4,108;109;117;118,
8622,0,upper,R2C1,Bi-207-9176,-0.68,6.89,60,0.08,33.4,96630,7,6,47;59;60;61;72;73,
8622,0,upper,R2C2,Bi-207-9177,0.82,0.83,76,0.08,6.1,91546,5,5,63;64;76;77;88,
8622,0,upper,R2C3,Bi-207-8779,0.07,-5.67,80,0.78,14.8,64517,7,4,68;80;81;92,
8622,0,lower,R1C2,Cd-109-9178,5.16,1.67,1019,0.11,122.4,1287253,7,4,1010;1011;1018;1019,
8622,0,lower,R1C3,Bi-207-8890,5.16,-3.53,1022,0.11,44.6,202477,7,4,1013;1014;1022;1023,
8622,0,lower,R2C1,Bi-207-9176,0.66,6.0,1048,0.11,33.6,254332,7,4,1036;1047;1048;1060,
8622,0,lower,R2C2,Bi-207-9177,0.66,-0.93,1052,0.11,20.4,273101,7,6,1040;1051;1052;1053;1064;1065,
8622,0,lower,R2C3,Bi-207-8779,-0.84,-6.99,1068,0.11,39.1,159267,7,4,1055;1056;1068;1069,
8623,0,upper,R1C2,Cd-109-9178,2.23,3.39,86,0.08,24.7,396613,7,7,74;75;85;86;87;96;97,
8623,0,upper,R1C3,Bi-207-8890,2.23,-1.81,89,0.08,3.6,37755,4,4,89;90;99;100,
8623,0,upper,R2C1,Bi-207-9176,-3.77,6.85,36,0.08,29.6,27462,7,4,35;36;47;48,
8623,0,upper,R2C2,Bi-207-9177,-2.27,0.79,51,0.08,2.1,133235,5,5,39;40;51;52;64,
8623,0,upper,R2C3,Bi-207-8779,-3.02,-5.71,55,0.84,10.4,82746,6,4,44;55;56;68,
8623,0,lower,R1C2,Cd-109-9178,3.04,1.34,1039,0.88,4.2,46145,4,5,1028;1029;1038;1039;1050,
8623,0,lower,R1C3,Bi-207-8890,3.04,-3.86,1032,0.86,25.0,185578,7,7,1022;1023;1031;1032;1033;1042;1043,
8623,0,lower,R2C1,Bi-207-9176,-1.46,5.67,1073,0.88,34.0,240524,7,4,1060;1072;1073;1084,
8623,0,lower,R2C2,Bi-207-9177,-1.46,-1.26,1077,0.88,20.5,204837,7,5,1064;1065;1076;1077;1088,
8623,0,lower,R2C3,Bi-207-8779,-2.96,-7.32,1081,0.86,70.9,122233,5,4,1068;1069;1080;1081,
8624,0,upper,R1C2,Cd-109-9178,0.65,2.6,75,0.1,11.2,170584,7,5,62;74;75;86;87,
8624,0,upper,R1C3,Bi-207-8890,0.65,-2.59,78,0.1,6.2,78869,5,5,66;78;79;89;90,
8624,0,upper,R2C1,Bi-207-9176,-5.35,6.07,26,0.1,42.9,54638,6,3,25;26;36,
8624,0,upper,R2C2,Bi-207-9177,-3.85,0.01,40,0.1,7.3,66112,6,4,29;30;39;40,
8624,0,upper,R2C3,Bi-207-8779,-4.6,-6.49,33,0.77,5.2,29374,6,3,24;33;34,
8624,0,lower,R1C2,Cd-109-9178,0.66,2.51,1050,0.12,71.8,1124391,7,7,1038;1039;1049;1050;1051;1062;1063,
8624,0,lower,R1C3,Bi-207-8890,0.66,-2.69,1053,0.12,6.8,82866,6,4,1042;1053;1054;1066,
8624,0,lower,R2C1,Bi-207-9176,-3.84,6.84,1084,0.12,40.4,98711,6,4,1084;1085;1094;1095,
8624,0,lower,R2C2,Bi-207-9177,-3.84,-0.09,1088,0.12,22.5,199139,7,6,1077;1087;1088;1089;1098;1099,
8624,0,lower,R2C3,Bi-207-8779,-5.34,-6.15,1102,0.12,11.5,72927,6,3,1092;1102;1112,
8625,0,upper,R1C2,Cd-109-9178,-1.44,2.32,50,0.85,12.5,143428,5,4,49;50;62;63,
8625,0,upper,R1C3,Bi-207-8890,-1.44,-2.88,53,0.85,5.4,59936,5,5,52;53;54;65;66,
8625,0,upper,R2C1,Bi-207-9176,-7.44,5.78,17,0.91,3.7,3644,5,4,9;17;18;27,
8625,0,upper,R2C2,Bi-207-9177,-5.94,-0.28,20,0.85,35.2,81060,7,5,11;12;19;20;21,
8625,0,upper,R2C3,Bi-207-8779,-6.69,-6.78,24,0.16,24.5,3758,3,3,24;33;34,
8625,0,lower,R1C2,Cd-109-9178,-0.71,1.68,1063,0.07,63.3,960311,7,5,1050;1062;1063;1075;1076,
8625,0,lower,R1C3,Bi-207-8890,-0.71,-3.52,1066,0.07,16.0,219886,7,6,1053;1054;1066;1067;1078;1079,
8625,0,lower,R2C1,Bi-207-9176,-5.21,6.01,1095,0.07,36.4,92999,5,3,1095;1096;1105,
8625,0,lower,R2C2,Bi-207-9177,-5.21,-0.92,1099,0.07,18.4,123108,7,4,1098;1099;1108;1109,
8625,0,lower,R2C3,Bi-207-8779,-6.71,-6.98,1112,0.07,23.6,5719,3,3,1102;1111;1112,
8626,0,upper,R1C2,Cd-109-9178,6.66,4.21,114,0.15,2.9,1549,4,5,105;106;113;114;121,
8626,0,upper,R1C3,Bi-207-8890,6.66,-0.99,117,0.15,2.9,3709,5,4,108;109;116;117,
8626,0,upper,R2C1,Bi-207-9176,0.66,7.67,72,0.15,12.6,22606,5,3,72;83;84,
8626,0,upper,R2C2,Bi-207-9177,2.16,1.61,87,0.15,4.7,44283,4,5,76;87;88;97;98,
8626,0,upper,R2C3,Bi-207-8779,1.41,-4.88,91,0.89,10.6,37659,4,4,80;91;92;102,
8626,0,lower,R1C2,Cd-109-9178,6.78,2.5,1010,0.1,4.8,10449,5,4,1009;1010;1018;1019,
8626,0,lower,R1C3,Bi-207-8890,6.78,-2.7,1013,0.1,12.3,23344,3,4,1012;1013;1021;1022,
8626,0,lower,R2C1,Bi-207-9176,2.28,6.83,1036,0.1,17.5,19871,5,4,1026;1036;1037;1048,
8626,0,lower,R2C2,Bi-207-9177,2.28,-0.1,1040,0.1,11.9,184896,7,4,1029;1030;1040;1041,
8626,0,lower,R2C3,Bi-207-8779,0.78,-6.16,1055,0.1,4.2,19703,4,5,1033;1043;1044;1055;1056,
8627,0,upper,R1C2,Cd-109-9178,7.54,3.73,114,0.99,6.0,3220,6,5,105;106;113;114;121,CHECK
8627,0,upper,R1C3,Bi-207-8890,7.54,-1.46,117,0.99,10.2,13047,5,4,109;116;117;118,CHECK
8627,0,upper,R2C1,Bi-207-9176,1.54,7.2,84,0.76,12.8,20454,5,4,83;84;94;95,
8627,0,upper,R2C2,Bi-207-9177,3.04,1.14,98,0.76,13.0,78803,5,5,97;98;99;107;108,
8627,0,upper,R2C3,Bi-207-8779,2.29,-5.36,91,0.17,1.7,6131,2,4,91;92;101;102,CHECK
8627,0,lower,R1C2,Cd-109-9178,8.93,2.31,,,,,0,0,,CHECK
8627,0,lower,R1C3,Bi-207-8890,8.93,-2.89,,,,,0,0,,CHECK
8627,0,lower,R2C1,Bi-207-9176,4.43,6.64,1026,0.89,63.2,212024,3,3,1017;1026;1027,
8627,0,lower,R2C2,Bi-207-9177,4.43,-0.29,1020,0.87,23.6,113976,7,5,1012;1020;1021;1029;1030,
8627,0,lower,R2C3,Bi-207-8779,2.93,-6.35,1033,0.87,43.7,113300,4,5,1023;1032;1033;1043;1044,
8628,0,upper,R1C2,Cd-109-9178,5.3,1.69,107,0.06,156.6,415502,7,5,106;107;108;115;116,
8628,0,upper,R1C3,Bi-207-8890,5.3,-3.5,110,0.06,5.7,42257,5,4,110;111;118;119,
8628,0,upper,R2C1,Bi-207-9176,-0.7,5.16,61,0.06,6.6,72995,5,5,48;60;61;73;74,
8628,0,upper,R2C2,Bi-207-9177,0.8,-0.9,77,0.06,5.1,74568,5,5,64;65;77;78;89,
8628,0,upper,R2C3,Bi-207-8779,0.05,-7.4,81,0.8,3.4,3523,3,4,68;69;80;81,
8628,0,lower,R1C2,Cd-109-9178,5.3,0.04,1020,0.07,29.1,140375,6,4,1010;1011;1019;1020,
8628,0,lower,R1C3,Bi-207-8890,5.3,-5.15,1023,0.07,64.9,158064,4,3,1014;1022;1023,
8628,0,lower,R2C1,Bi-207-9176,0.8,4.37,1049,0.07,12.2,184780,5,5,1037;1048;1049;1061;1062,
8628,0,lower,R2C2,Bi-207-9177,0.8,-2.56,1053,0.07,12.7,154949,5,5,1041;1052;1053;1065;1066,
8628,0,lower,R2C3,Bi-207-8779,-0.7,-8.62,1069,0.07,63.0,70285,4,3,1056;1068;1069,
8629,0,upper,R1C2,Cd-109-9178,2.96,1.41,87,0.78,35.0,333284,5,4,87;88;97;98,
8629,0,upper,R1C3,Bi-207-8890,2.96,-3.79,101,0.96,7.6,53019,7,4,91;101;102;111,CHECK
8629,0,upper,R2C1,Bi-207-9176,-3.04,4.87,37,0.78,7.4,43849,7,5,26;36;37;48;49,
8629,0,upper,R2C2,Bi-207-9177,-1.54,-1.19,52,0.78,7.9,81477,4,5,41;52;53;64;65,
8629,0,upper,R2C3,Bi-207-8779,-2.29,-7.68,56,0.12,3.6,2431,2,5,44;55;56;68;69,
8629,0,lower,R1C2,Cd-109-9178,3.68,0.96,1029,0.12,143.6,1007473,7,7,1019;1020;1028;1029;1030;1039;1040,
8629,0,lower,R1C3,Bi-207-8890,3.68,-4.23,1032,0.12,17.6,130608,7,4,1023;1032;1033;1043,
8629,0,lower,R2C1,Bi-207-9176,-0.82,5.29,1061,0.12,4.9,57972,5,4,1061;1062;1073;1074,
8629,0,lower,R2C2,Bi-207-9177,-0.82,-1.64,1065,0.12,13.6,122685,4,5,1064;1065;1066;1077;1078,
8629,0,lower,R2C3,Bi-207-8779,-2.32,-7.7,1081,0.12,103.5,178497,5,3,1068;1069;1081,
8630,0,upper,R1C2,Cd-109-9178,0.87,0.87,76,0.12,8.8,133253,7,4,63;75;76;87,
8630,0,upper,R1C3,Bi-207-8890,0.87,-4.32,79,0.12,9.9,74467,5,5,67;79;80;90;91,
8630,0,upper,R2C1,Bi-207-9176,-5.13,4.34,27,0.12,27.3,46743,7,4,17;26;27;37,
8630,0,upper,R2C2,Bi-207-9177,-3.63,-1.72,41,0.12,7.3,54130,7,4,30;31;40;41,
8630,0,upper,R2C3,Bi-207-8779,-4.38,-8.22,34,0.97,3.7,570,2,4,24;33;34;44,CHECK
8630,0,lower,R2C3,Bi-207-8779,-5.19,-7.78,,,,,0,0,,CHECK
8630,0,lower,R1C2,Cd-109-9178,0.81,0.88,1051,0.06,85.3,1109030,7,7,1039;1040;1050;1051;1052;1063;1064,
8630,0,lower,R1C3,Bi-207-8890,0.81,-4.31,1054,0.06,15.9,127464,5,4,1043;1054;1055;1067,
8630,0,lower,R2C1,Bi-207-9176,-3.69,5.21,1085,0.06,17.7,154249,6,4,1085;1086;1095;1096,
8630,0,lower,R2C2,Bi-207-9177,-3.69,-1.72,1089,0.06,26.7,209432,7,5,1088;1089;1090;1099;1100,
8631,0,upper,R1C2,Cd-109-9178,-0.71,1.84,63,0.11,19.1,318416,7,5,50;51;62;63;75,
8631,0,upper,R1C3,Bi-207-8890,-0.71,-3.36,66,0.11,4.1,51513,4,4,54;66;67;79,
8631,0,upper,R2C1,Bi-207-9176,-6.71,5.3,17,0.11,39.3,38402,5,4,9;17;18;27,
8631,0,upper,R2C2,Bi-207-9177,-5.21,-0.76,30,0.11,7.1,35593,5,4,20;21;30;31,
8631,0,upper,R2C3,Bi-207-8779,-5.96,-7.25,34,0.9,3.3,503,2,4,24;33;34;44,
8631,0,lower,R2C3,Bi-207-8779,-6.82,-8.61,,,,,0,0,,CHECK
8631,0,lower,R1C2,Cd-109-9178,-0.82,0.05,1064,0.08,8.2,126832,4,4,1051;1063;1064;1076,
8631,0,lower,R1C3,Bi-207-8890,-0.82,-5.14,1067,0.08,29.3,204438,7,7,1054;1055;1066;1067;1068;1079;1080,
8631,0,lower,R2C1,Bi-207-9176,-5.32,4.38,1096,0.08,22.5,75272,6,5,1095;1096;1105;1106;1114,
8631,0,lower,R2C2,Bi-207-9177,-5.32,-2.55,1100,0.08,17.4,81536,5,4,1099;1100;1109;1110,
8632,0,upper,R1C2,Cd-109-9178,6.64,2.48,115,0.16,3.5,5807,5,4,106;107;115;116,
8632,0,upper,R1C3,Bi-207-8890,6.64,-2.72,118,0.16,1.5,2385,2,4,109;110;117;118,CHECK
8632,0,upper,R2C1,Bi-207-9176,0.64,5.94,73,0.16,8.5,46070,5,4,72;73;84;85,
8632,0,upper,R2C2,Bi-207-9177,2.14,-0.12,88,0.16,4.1,72199,5,5,77;88;89;98;99,
8632,0,upper,R2C3,Bi-207-8779,1.39,-6.61,92,0.92,8.2,11810,4,3,92;102;103,
8632,0,lower,R1C2,Cd-109-9178,6.67,0.87,1011,0.08,18.9,35213,5,3,1004;1011;1012,
