run,detector,slot,source,pred_x,pred_y,peak_pixel,snap_dist,n_pixels,pixels,flag
8622,upper,R1C2,Cd-109-9178,5.09,2.93,106,0.56,5,96;97;106;107;115,
8622,upper,R1C3,Bi-207-8890,6.23,-3.09,109,1.68,6,99;100;108;109;117;118,
8622,upper,R2C1,Bi-207-9176,-0.52,6.33,60,0.64,5,48;60;61;72;73,
8622,upper,R2C2,Bi-207-9177,0.36,0.19,76,0.78,5,63;64;76;77;88,
8622,upper,R2C3,Bi-207-8779,2.42,-4.44,80,2.33,5,67;68;79;80;81,CHECK
8622,lower,R1C2,Cd-109-9178,5.26,1.87,1019,0.14,7,1010;1011;1018;1019;1020;1028;1029,
8622,lower,R1C3,Bi-207-8890,5.18,-4.57,1022,1.11,7,1013;1014;1021;1022;1023;1031;1032,
8622,lower,R2C1,Bi-207-9176,0.44,5.75,1048,0.44,5,1047;1048;1049;1060;1061,
8622,lower,R2C2,Bi-207-9177,0.43,-1.0,1052,0.35,6,1040;1041;1051;1052;1064;1065,
8622,lower,R2C3,Bi-207-8779,0.49,-7.4,1068,1.33,4,1055;1056;1067;1068,
8623,upper,R1C2,Cd-109-9178,2.06,3.76,86,0.35,7,74;75;85;86;87;96;97,
8623,upper,R1C3,Bi-207-8890,3.2,-2.27,100,0.64,6,89;90;99;100;101;110,
8623,upper,R2C1,Bi-207-9176,-3.55,7.16,48,1.7,7,36;37;47;48;49;60;61,
8623,upper,R2C2,Bi-207-9177,-2.67,1.01,51,0.45,5,40;51;52;63;64,
8623,upper,R2C3,Bi-207-8779,-0.61,-3.61,65,1.89,5,53;65;66;77;78,CHECK
8623,lower,R1C2,Cd-109-9178,-1.78,5.7,1073,0.59,6,1060;1061;1072;1073;1074;1085,
8623,lower,R1C3,Bi-207-8890,-1.87,-0.74,1077,0.4,4,1064;1065;1076;1077,
8623,lower,R2C1,Bi-207-9176,-6.6,9.58,1094,2.24,3,1084;1094;1095,CHECK
8623,lower,R2C2,Bi-207-9177,-6.62,2.83,1098,2.39,7,1087;1088;1097;1098;1099;1107;1108,CHECK
8623,lower,R2C3,Bi-207-8779,-6.55,-3.57,1101,1.51,4,1090;1091;1101;1102,
8624,upper,R1C2,Cd-109-9178,0.7,3.69,74,0.65,4,62;74;75;86,
8624,upper,R1C3,Bi-207-8890,1.84,-2.34,78,1.12,5,66;78;79;89;90,
8624,upper,R2C1,Bi-207-9176,-4.91,7.09,26,1.08,4,26;27;36;37,
8624,upper,R2C2,Bi-207-9177,-4.04,0.94,51,1.79,7,39;40;50;51;52;63;64,
8624,upper,R2C3,Bi-207-8779,-1.98,-3.68,43,2.33,6,32;33;42;43;44;55,CHECK
8624,lower,R1C2,Cd-109-9178,0.75,2.68,1050,0.08,7,1038;1039;1049;1050;1051;1062;1063,
8624,lower,R1C3,Bi-207-8890,0.67,-3.76,1054,0.58,5,1042;1043;1053;1054;1066,
8624,lower,R2C1,Bi-207-9176,-4.07,6.56,1085,1.4,5,1073;1084;1085;1095;1096,
8624,lower,R2C2,Bi-207-9177,-4.08,-0.19,1088,0.38,6,1076;1077;1088;1089;1098;1099,
8624,lower,R2C3,Bi-207-8779,-4.02,-6.59,1092,0.43,4,1080;1091;1092;1102,
8625,upper,R1C2,Cd-109-9178,-0.82,3.0,62,0.47,6,49;50;62;63;74;75,
8625,upper,R1C3,Bi-207-8890,0.32,-3.02,66,1.16,5,53;65;66;78;79,
8625,upper,R2C1,Bi-207-9176,-6.43,6.41,27,2.39,5,18;27;28;37;38,CHECK
8625,upper,R2C2,Bi-207-9177,-5.55,0.26,20,1.23,6,12;19;20;21;29;30,
8625,upper,R2C3,Bi-207-8779,-3.49,-4.36,43,0.87,5,32;42;43;54;55,
8625,lower,R1C2,Cd-109-9178,-0.73,2.11,1063,0.38,4,1050;1062;1063;1075,
8625,lower,R1C3,Bi-207-8890,-0.81,-4.32,1066,0.86,7,1053;1054;1065;1066;1067;1078;1079,
8625,lower,R2C1,Bi-207-9176,-5.55,5.99,1105,1.44,3,1095;1096;1105,
8625,lower,R2C2,Bi-207-9177,-5.56,-0.76,1108,1.41,4,1098;1099;1108;1109,
8625,lower,R2C3,Bi-207-8779,-5.5,-7.16,1102,1.13,4,1091;1101;1102;1111,
8626,upper,R1C2,Cd-109-9178,2.46,0.37,88,0.43,7,76;77;87;88;89;98;99,
8626,upper,R1C3,Bi-207-8890,3.6,-5.65,91,1.42,7,79;80;90;91;92;101;102,
8626,upper,R2C1,Bi-207-9176,-3.15,3.78,62,2.42,4,61;62;74;75,CHECK
8626,upper,R2C2,Bi-207-9177,-2.27,-2.37,54,1.96,4,42;43;54;55,CHECK
8626,upper,R2C3,Bi-207-8779,-0.21,-6.99,68,0.54,3,68;69;81,
8626,lower,R1C3,Bi-207-8890,2.24,-12.67,,,0,,CHECK
8626,lower,R2C3,Bi-207-8779,-2.44,-15.51,,,0,,CHECK
8626,lower,R1C2,Cd-109-9178,2.33,-6.23,1044,0.7,4,1033;1043;1044;1055,
8626,lower,R2C1,Bi-207-9176,-2.49,-2.35,1077,1.51,7,1064;1065;1076;1077;1078;1088;1089,
8626,lower,R2C2,Bi-207-9177,-2.51,-9.1,1092,2.51,4,1080;1091;1092;1102,CHECK
8627,upper,R1C2,Cd-109-9178,3.94,0.81,98,0.2,4,98;99;107;108,
8627,upper,R1C3,Bi-207-8890,5.08,-5.21,102,1.58,4,91;101;102;111,
8627,upper,R2C1,Bi-207-9176,-1.67,4.22,74,2.42,4,73;74;85;86,CHECK
8627,upper,R2C2,Bi-207-9177,-0.79,-1.93,77,1.87,5,65;77;78;88;89,CHECK
8627,upper,R2C3,Bi-207-8779,1.27,-6.56,79,2.28,4,66;79;80;90,CHECK
8627,lower,R1C2,Cd-109-9178,4.15,5.18,1026,0.97,4,1017;1026;1027;1037,
8627,lower,R1C3,Bi-207-8890,4.07,-1.25,1030,0.5,4,1020;1021;1029;1030,
8627,lower,R2C1,Bi-207-9176,-0.67,9.06,1047,1.9,4,1047;1048;1059;1060,CHECK
8627,lower,R2C2,Bi-207-9177,-0.68,2.31,1064,2.31,5,1051;1052;1064;1065;1077,CHECK
8627,lower,R2C3,Bi-207-8779,-0.62,-4.09,1053,2.03,4,1042;1053;1054;1066,CHECK
8628,upper,R1C2,Cd-109-9178,5.12,2.02,107,0.32,7,97;98;106;107;108;115;116,
8628,upper,R1C3,Bi-207-8890,6.26,-4.0,110,1.14,6,100;101;109;110;111;118,
8628,upper,R2C1,Bi-207-9176,-0.49,5.42,61,0.35,5,60;61;62;73;74,
8628,upper,R2C2,Bi-207-9177,0.39,-0.72,77,0.39,6,64;65;76;77;78;89,
8628,upper,R2C3,Bi-207-8779,2.45,-5.35,90,1.89,3,79;90;91,CHECK
8628,lower,R1C2,Cd-109-9178,5.26,1.63,1019,0.1,7,1010;1011;1018;1019;1020;1028;1029,
8628,lower,R1C3,Bi-207-8890,5.17,-4.81,1023,0.4,4,1014;1022;1023;1032,
8628,lower,R2C1,Bi-207-9176,0.44,5.51,1049,1.22,5,1048;1049;1050;1061;1062,
8628,lower,R2C2,Bi-207-9177,0.42,-1.24,1053,1.4,4,1041;1052;1053;1065,
8628,lower,R2C3,Bi-207-8779,0.49,-7.64,1056,0.3,4,1055;1056;1068;1069,
8629,upper,R1C2,Cd-109-9178,3.02,1.75,87,0.77,5,86;87;88;97;98,
8629,upper,R1C3,Bi-207-8890,4.16,-4.28,101,0.42,5,90;91;100;101;110,
8629,upper,R2C1,Bi-207-9176,-2.59,5.15,48,0.97,4,37;48;49;61,
8629,upper,R2C2,Bi-207-9177,-1.71,-1.0,52,0.56,7,40;41;51;52;53;64;65,
8629,upper,R2C3,Bi-207-8779,0.35,-5.62,66,2.42,5,54;66;67;78;79,CHECK
8629,lower,R1C2,Cd-109-9178,3.65,0.9,1029,0.1,7,1019;1020;1028;1029;1030;1039;1040,
8629,lower,R1C3,Bi-207-8890,3.57,-5.54,1032,1.22,5,1023;1032;1033;1042;1043,
8629,lower,R2C1,Bi-207-9176,-1.17,4.78,1074,1.17,7,1061;1062;1073;1074;1075;1085;1086,
8629,lower,R2C2,Bi-207-9177,-1.18,-1.97,1078,1.24,5,1065;1066;1077;1078;1089,
8629,lower,R2C3,Bi-207-8779,-1.12,-8.37,1081,1.27,5,1068;1069;1080;1081;1092,
8630,upper,R1C2,Cd-109-9178,0.65,2.03,75,0.58,4,63;75;76;87,
8630,upper,R1C3,Bi-207-8890,1.79,-3.99,79,1.09,7,66;67;78;79;80;90;91,
8630,upper,R2C1,Bi-207-9176,-4.96,5.43,26,0.69,5,17;26;27;36;37,
8630,upper,R2C2,Bi-207-9177,-4.08,-0.71,30,1.18,4,30;31;40;41,
8630,upper,R2C3,Bi-207-8779,-2.02,-5.34,43,1.74,4,32;42;43;54,
8630,lower,R1C2,Cd-109-9178,0.76,0.95,1051,0.08,7,1039;1040;1050;1051;1052;1063;1064,
8630,lower,R1C3,Bi-207-8890,0.67,-5.49,1054,1.16,5,1042;1043;1054;1055;1067,
8630,lower,R2C1,Bi-207-9176,-4.06,4.83,1085,0.48,5,1074;1085;1086;1095;1096,
8630,lower,R2C2,Bi-207-9177,-4.08,-1.92,1089,0.38,7,1077;1078;1088;1089;1090;1099;1100,
8630,lower,R2C3,Bi-207-8779,-4.01,-8.32,1092,1.42,5,1080;1081;1091;1092;1102,
8631,upper,R1C2,Cd-109-9178,-1.04,2.15,63,0.51,6,50;51;62;63;64;75,
8631,upper,R1C3,Bi-207-8890,0.1,-3.88,79,0.8,4,79;80;90;91,
8631,upper,R2C1,Bi-207-9176,-6.65,5.55,17,0.37,5,9;17;18;26;27,
8631,upper,R2C2,Bi-207-9177,-5.78,-0.6,21,1.5,7,12;13;20;21;22;30;31,
8631,upper,R2C3,Bi-207-8779,-3.72,-5.22,54,1.72,5,43;54;55;66;67,
8631,lower,R1C2,Cd-109-9178,-0.78,1.71,1063,0.04,7,1050;1051;1062;1063;1064;1075;1076,
8631,lower,R1C3,Bi-207-8890,-0.87,-4.73,1067,0.48,5,1054;1066;1067;1068;1079,
8631,lower,R2C1,Bi-207-9176,-5.6,5.59,1105,1.22,4,1095;1096;1105;1106,
8631,lower,R2C2,Bi-207-9177,-5.62,-1.16,1109,1.27,5,1099;1100;1108;1109;1110,
8631,lower,R2C3,Bi-207-8779,-5.55,-7.56,1092,1.91,4,1080;1091;1092;1102,CHECK
8632,upper,R1C2,Cd-109-9178,2.43,-0.02,88,0.18,4,77;88;89;99,
8632,upper,R1C3,Bi-207-8890,3.57,-6.04,92,1.59,5,80;81;91;92;102,
8632,upper,R2C1,Bi-207-9176,-3.18,3.38,62,2.43,4,61;62;74;75,CHECK
8632,upper,R2C2,Bi-207-9177,-2.3,-2.76,42,1.61,4,32;42;43;54,
8632,upper,R2C3,Bi-207-8779,-0.24,-7.39,55,2.4,5,44;55;56;67;68,CHECK
8632,lower,R2C3,Bi-207-8779,-2.21,-10.93,,,0,,CHECK
8632,lower,R1C2,Cd-109-9178,2.56,-1.66,1041,0.32,5,1030;1031;1040;1041;1042,
8632,lower,R1C3,Bi-207-8890,2.48,-8.09,1044,1.19,5,1033;1043;1044;1055;1056,
8632,lower,R2C1,Bi-207-9176,-2.26,2.22,1062,1.95,4,1049;1050;1061;1062,CHECK
8632,lower,R2C2,Bi-207-9177,-2.27,-4.53,1090,1.82,7,1078;1079;1089;1090;1091;1100;1101,CHECK
8635,upper,R1C2,Cd-109-9178,5.15,4.55,105,0.65,4,96;105;106;114,
8635,upper,R1C3,Bi-207-8890,6.28,-1.47,108,1.8,6,98;99;107;108;116;117,
